Date,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total
20191201,0,1,1,0,115,115,0,4,4
20191202,1,1,2,115,92,207,4,3,7
20191203,1,1,2,124,101,225,4,3,7
20191204,1,2,3,49,164,213,2,93,95
20191205,1,0,1,128,0,128,6,0,6
20191206,1,1,2,276,117,393,4,3,7
20191207,1,2,3,159,0,159,5,103,108
20191208,0,1,1,0,96,96,0,4,4
20191209,1,1,2,144,107,251,6,6,12
20191210,1,1,2,105,61,166,9,3,12
20191211,1,2,3,45,102,147,2,39,41
20191212,1,0,1,126,0,126,5,0,5
20191213,1,1,2,288,166,454,4,4,8
20191214,1,2,3,123,276,399,5,64,69
20191215,0,1,1,0,122,122,0,4,4
20191216,1,1,2,172,91,263,7,3,10
20191217,1,1,2,141,113,254,5,2,7
20191218,1,2,3,123,124,247,4,55,59
20191219,1,0,1,163,0,163,6,0,6
20191220,1,1,2,288,144,432,4,3,7
20191221,2,2,4,374,288,662,10,80,90
20191222,0,2,2,0,153,153,0,4,4
20191223,1,1,2,167,91,258,6,3,9
20191224,1,1,2,124,65,189,4,3,7
20191225,1,2,3,109,82,191,3,91,94
20191226,1,0,1,123,0,123,4,0,4
20191227,1,1,2,291,142,433,4,6,10
20191228,2,2,4,254,288,542,5,36,41
20191229,0,1,1,0,115,115,0,7,7
20191230,1,1,2,72,79,151,3,6,9
20191231,1,1,2,110,101,211,4,5,9
20200101,1,2,3,152,83,235,4,66,70
20200102,1,0,1,172,0,172,6,0,6
20200103,1,1,2,296,68,364,4,3,7
20200104,2,2,4,396,288,684,8,28,36
20200105,0,2,2,0,255,255,0,4,4
20200106,1,1,2,186,86,272,7,5,12
20200107,1,1,2,152,101,253,5,6,11
20200108,1,2,3,195,112,307,6,44,50
20200109,1,0,1,192,0,192,6,0,6
20200110,1,1,2,294,126,420,4,3,7
20200111,2,2,4,387,296,683,8,82,90
20200112,0,2,2,0,383,383,0,7,7
20200113,1,1,2,188,93,281,6,3,9
20200114,1,1,2,200,90,290,7,3,10
20200115,1,2,3,153,130,283,5,54,59
20200116,1,0,1,186,0,186,6,0,6
20200117,1,1,2,290,181,471,4,5,9
20200118,2,2,4,361,293,654,8,74,82
20200119,0,2,2,0,381,381,0,6,6
20200120,1,1,2,155,121,276,6,2,8
20200121,1,1,2,143,181,324,4,4,8
20200122,1,2,3,142,204,346,5,73,78
20200123,1,0,1,181,0,181,6,0,6
20200124,1,1,2,288,172,460,4,6,10
20200125,2,2,4,343,290,633,11,5,16
20200126,0,2,2,0,346,346,0,8,8
20200127,1,1,2,106,198,304,4,5,9
20200128,1,1,2,105,163,268,3,12,15
20200129,1,1,2,151,186,337,6,4,10
20200130,1,0,1,146,0,146,5,0,5
20200131,1,1,2,294,173,467,4,5,9
20200201,2,2,4,342,288,630,9,5,14
20200202,0,2,2,0,388,388,0,7,7
20200203,1,1,2,124,190,314,5,5,10
20200204,1,1,2,91,142,233,5,4,9
20200205,1,1,2,120,173,293,8,5,13
20200206,1,0,1,74,0,74,4,0,4
20200207,1,1,2,293,173,466,4,4,8
20200208,2,1,3,342,294,636,9,5,14
20200209,0,2,2,0,333,333,0,6,6
20200210,1,1,2,154,92,246,6,2,8
20200211,1,1,2,83,92,175,3,3,6
20200212,1,2,3,132,123,255,4,78,82
20200213,1,0,1,91,0,91,4,0,4
