Date,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total
20191201,64,70,134,13116,12803,25919,1142,851,1993
20191202,69,67,136,12466,11660,24126,1214,735,1949
20191203,73,71,144,11173,11149,22322,1555,947,2502
20191204,72,77,149,11306,11202,22508,1489,1075,2564
20191205,64,68,132,10840,11054,21894,1309,1159,2468
20191206,69,69,138,10715,11288,22003,1355,1037,2392
20191207,64,70,134,11290,13010,24300,1245,1148,2393
20191208,65,71,136,11595,13393,24988,1101,1129,2230
20191209,68,67,135,11093,12301,23394,1122,1088,2210
20191210,68,67,135,9013,11059,20072,1422,1164,2586
20191211,74,76,150,10894,12352,23246,1410,1080,2490
20191212,66,67,133,10405,12292,22697,1184,1095,2279
20191213,69,70,139,12003,12280,24283,1317,1150,2467
20191214,69,74,143,12306,13975,26281,1301,1292,2593
20191215,65,72,137,12311,14501,26812,1085,1161,2246
20191216,71,70,141,12656,13462,26118,1284,1100,2384
20191217,71,73,144,11607,13015,24622,1280,1214,2494
20191218,75,76,151,13259,13267,26526,1491,1137,2628
20191219,72,75,147,12878,13810,26688,1539,1248,2787
20191220,72,74,146,14016,13498,27514,1233,1258,2491
20191221,69,75,144,13930,14382,28312,1437,1449,2886
20191222,63,70,133,13256,14650,27906,958,1072,2030
20191223,71,72,143,13350,13742,27092,1254,1329,2583
20191224,72,73,145,11584,13108,24692,1366,1109,2475
20191225,73,72,145,11804,13591,25395,1023,943,1966
20191226,71,75,146,11986,13661,25647,1223,1163,2386
20191227,72,74,146,12646,12596,25242,1128,1025,2153
20191228,74,75,149,13209,14406,27615,1597,1116,2713
20191229,23,27,50,3428,3787,7215,297,302,599
20191230,27,26,53,3507,3652,7159,421,240,661
20191231,29,28,57,3002,3284,6286,409,360,769
20200101,69,73,142,14073,13007,27080,1073,860,1933
20200102,68,72,140,12902,12459,25361,1025,856,1881
20200103,71,70,141,14591,11736,26327,973,592,1565
20200104,76,70,146,15020,13841,28861,1504,842,2346
20200105,63,73,136,14207,14345,28552,774,1118,1892
20200106,69,71,140,14558,12934,27492,869,1146,2015
