Date,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total
20191201,940,939,1879,160641,162012,322653,3129,3225,6354
20191202,903,908,1811,147949,150402,298351,2489,2175,4664
20191203,887,889,1776,136704,134976,271680,2818,2741,5559
20191204,911,904,1815,142614,136517,279131,3380,2975,6355
20191205,918,913,1831,154236,147486,301722,3266,3161,6427
20191206,924,931,1855,157881,156078,313959,3335,3283,6618
20191207,913,908,1821,154460,154475,308935,2975,2636,5611
20191208,942,936,1878,162723,164091,326814,2961,3223,6184
20191209,909,915,1824,156660,157573,314233,2798,2440,5238
20191210,937,900,1837,145567,141580,287147,3225,2802,6027
20191211,930,929,1859,152618,148511,301129,3401,3156,6557
20191212,925,925,1850,160057,154821,314878,3577,3051,6628
20191213,926,934,1860,166877,164055,330932,3174,3034,6208
20191214,918,912,1830,166094,164463,330557,3258,2731,5989
20191215,945,942,1887,173105,171145,344250,3335,3536,6871
20191216,905,913,1818,167057,167795,334852,2556,2334,4890
20191217,904,893,1797,156744,154582,311326,3363,3043,6406
20191218,925,927,1852,163486,161163,324649,3538,3340,6878
20191219,931,923,1854,169939,164635,334574,3710,3342,7052
20191220,929,937,1866,169529,170027,339556,3449,3279,6728
20191221,929,922,1851,169076,168953,338029,3263,2958,6221
20191222,954,950,1904,169368,169345,338713,3226,3528,6754
20191223,910,913,1823,157680,162543,320223,2659,2319,4978
20191224,905,912,1817,153940,158296,312236,3058,3142,6200
20191225,957,943,1900,156791,158477,315268,3633,3348,6981
20191226,929,924,1853,165196,160407,325603,2958,3172,6130
20191227,939,947,1886,168772,164665,333437,3060,3063,6123
20191228,933,921,1854,179547,170363,349910,3168,2936,6104
20191229,884,877,1761,161290,161254,322544,1836,2015,3851
20191230,857,856,1713,157182,156825,314007,1769,1756,3525
20191231,852,856,1708,151204,149221,300425,2175,1876,4051
20200101,930,922,1852,162953,156991,319944,2407,2153,4560
20200102,931,924,1855,173104,157336,330440,2856,2209,5065
20200103,929,937,1866,170444,151975,322419,3163,2413,5576
20200104,944,940,1884,175127,158762,333889,3188,2463,5651
20200105,949,951,1900,178843,166395,345238,3055,2898,5953
20200106,925,929,1854,173370,153436,326806,2771,2093,4864
20200107,935,933,1868,160271,136740,297011,3223,2627,5850
20200108,985,972,1957,172677,148486,321163,3781,3095,6876
20200109,945,947,1892,169785,151031,320816,3672,3229,6901
20200110,949,957,1906,169662,162971,332633,3319,3171,6490
20200111,954,946,1900,168090,164391,332481,3225,2907,6132
20200112,957,963,1920,168494,172073,340567,3312,3548,6860
20200113,927,920,1847,170016,165392,335408,2737,2336,5073
20200114,926,924,1850,165041,161451,326492,3309,2937,6246
20200115,951,949,1900,168028,166567,334595,3771,3428,7199
20200116,947,942,1889,167435,167612,335047,3470,3468,6938
20200117,954,957,1911,166367,172903,339270,3545,3468,7013
20200118,950,947,1897,159683,169923,329606,3178,2954,6132
20200119,971,961,1932,157423,166301,323724,3401,3557,6958
20200120,940,949,1889,150076,164191,314267,2724,2926,5650
20200121,941,934,1875,148889,152413,301302,3446,3293,6739
20200122,954,955,1909,168401,165110,333511,3618,3721,7339
20200123,972,964,1936,179906,168154,348060,2977,3223,6200
20200124,1017,1021,2038,177801,164158,341959,2620,2302,4922
20200125,973,965,1938,151834,153362,305196,1977,2132,4109
20200126,984,982,1966,165319,171066,336385,1972,2274,4246
20200127,1001,1000,2001,157279,180525,337804,2010,2238,4248
20200128,932,929,1861,156579,172003,328582,2194,2726,4920
20200129,940,941,1881,148585,162197,310782,2866,2660,5526
20200130,932,928,1860,132970,143546,276516,2765,2598,5363
20200131,939,947,1886,130608,138624,269232,2983,2404,5387
20200201,933,928,1861,122768,130294,253062,2688,2456,5144
20200202,952,948,1900,121449,126511,247960,2695,2809,5504
20200203,911,918,1829,110679,118580,229259,2086,1992,4078
20200204,889,888,1777,101273,109545,210818,2552,2450,5002
20200205,908,910,1818,99530,108915,208445,3172,2899,6071
20200206,903,896,1799,97394,104830,202224,2963,2745,5708
20200207,877,885,1762,97640,108348,205988,2688,2555,5243
20200208,867,863,1730,97544,107125,204669,2468,2273,4741
20200209,889,886,1775,100341,107384,207725,2301,2765,5066
20200210,849,857,1706,97062,100623,197685,1913,1786,3699
20200211,815,812,1627,93813,95367,189180,2553,2396,4949
20200212,822,818,1640,89430,92368,181798,2944,2546,5490
20200213,816,813,1629,95905,100761,196666,2877,2703,5580
20200214,829,834,1663,99383,105350,204733,2625,2734,5359
20200215,818,822,1640,101117,109067,210184,2602,2386,4988
20200216,840,835,1675,104537,108829,213366,2649,2993,5642
20200217,782,796,1578,99104,107339,206443,2208,2051,4259
20200218,756,764,1520,94213,102091,196304,2513,2387,4900
20200219,767,759,1526,95492,102710,198202,2936,2954,5890
20200220,769,773,1542,100424,108580,209004,2741,2939,5680
20200221,792,796,1588,101589,109561,211150,3014,2763,5777
20200222,785,779,1564,89407,98183,187590,2651,2513,5164
20200223,820,825,1645,91396,94213,185609,2619,3033,5652
20200224,729,737,1466,84202,80082,164284,2114,1825,3939
20200225,682,686,1368,69395,67569,136964,2526,2194,4720
20200226,665,661,1326,61397,60182,121579,3080,2731,5811
20200227,643,645,1288,54226,56067,110293,2809,2599,5408
20200228,603,611,1214,52803,56334,109137,2168,2470,4638
20200229,569,572,1141,47587,54506,102093,2582,2301,4883
20200301,513,520,1033,47941,50508,98449,2369,2518,4887
20200302,434,446,880,46500,47262,93762,1490,1255,2745
20200303,406,407,813,42296,43182,85478,1904,1896,3800
20200304,426,417,843,42531,43245,85776,2604,2120,4724
20200305,391,397,788,43060,42802,85862,2297,2013,4310
20200306,359,376,735,42981,44355,87336,1525,1861,3386
20200307,370,368,738,43317,44476,87793,2349,1816,4165
20200308,363,366,729,44494,42114,86608,1969,2098,4067
20200309,282,285,567,39638,40180,79818,1472,983,2455
20200310,276,273,549,35369,38328,73697,1598,1886,3484
20200311,283,277,560,35857,40043,75900,2267,1988,4255
20200312,288,286,574,36802,37760,74562,2022,2050,4072
20200313,292,294,586,39798,40662,80460,1775,1891,3666
20200314,292,287,579,37255,41638,78893,2185,1944,4129
20200315,297,298,595,39875,41362,81237,1752,2133,3885
20200316,270,270,540,38047,41820,79867,1477,1153,2630
20200317,270,265,535,34422,39722,74144,1497,1980,3477
20200318,277,272,549,34237,39910,74147,2048,2041,4089
20200319,280,282,562,34768,39829,74597,1928,2006,3934
