Date,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total
20191201,174,176,350,25424,25769,51193,874,1042,1916
20191202,167,170,337,24090,23077,47167,615,790,1405
20191203,171,173,344,21293,19728,41021,833,1009,1842
20191204,179,167,346,22142,18476,40618,950,1077,2027
20191205,172,176,348,21393,22290,43683,883,1020,1903
20191206,182,180,362,23943,25293,49236,1037,1047,2084
20191207,171,168,339,21325,22775,44100,863,964,1827
20191208,160,158,318,21931,23570,45501,775,929,1704
20191209,165,168,333,22455,23269,45724,662,687,1349
20191210,161,165,326,19990,19771,39761,844,858,1702
20191211,180,168,348,22174,20826,43000,1123,1031,2154
20191212,174,172,346,22358,21960,44318,985,983,1968
20191213,173,177,350,24201,25990,50191,940,991,1931
20191214,175,166,341,24540,24421,48961,1168,1172,2340
20191215,174,177,351,26407,28178,54585,881,987,1868
20191216,171,171,342,26562,26451,53013,806,785,1591
20191217,167,169,336,23809,22160,45969,1024,884,1908
20191218,179,169,348,26717,22293,49010,1167,973,2140
20191219,174,176,350,27650,23508,51158,1180,944,2124
20191220,176,177,353,29618,26255,55873,1139,980,2119
20191221,173,169,342,29913,25044,54957,1177,1117,2294
20191222,181,178,359,30519,25603,56122,1018,873,1891
20191223,176,178,354,28708,24028,52736,728,704,1432
20191224,171,170,341,25592,20999,46591,1090,812,1902
20191225,182,171,353,27656,19722,47378,1226,1025,2251
20191226,172,179,351,27668,22029,49697,855,914,1769
20191227,175,179,354,29610,24820,54430,1075,883,1958
20191228,179,170,349,29800,25838,55638,1158,992,2150
20191229,118,117,235,18114,16434,34548,365,336,701
20191230,110,110,220,16851,14744,31595,297,222,519
20191231,112,112,224,15956,14914,30870,561,311,872
20200101,186,172,358,26293,22325,48618,1018,1038,2056
20200102,173,175,348,24282,21468,45750,652,675,1327
20200103,175,181,356,25141,23107,48248,735,812,1547
20200104,180,171,351,25644,23876,49520,913,981,1894
20200105,180,181,361,29152,27745,56897,809,931,1740
20200106,169,178,347,27222,25916,53138,624,708,1332
20200107,169,162,331,24047,22944,46991,988,836,1824
20200108,188,184,372,27666,25918,53584,1006,1119,2125
20200109,184,179,363,27576,28003,55579,1131,1039,2170
20200110,175,182,357,27192,30442,57634,964,1076,2040
20200111,179,172,351,26736,28309,55045,1046,1177,2223
20200112,184,182,366,29143,30318,59461,1001,1003,2004
20200113,167,175,342,28760,28475,57235,777,855,1632
20200114,175,174,349,27155,26886,54041,1125,1055,2180
20200115,182,172,354,28125,27408,55533,1112,1196,2308
20200116,184,184,368,27578,29733,57311,1192,1267,2459
20200117,183,187,370,27405,30966,58371,1104,1194,2298
20200118,187,179,366,27260,30235,57495,1062,1235,2297
20200119,186,185,371,26541,31223,57764,848,1259,2107
20200120,181,183,364,25564,30064,55628,756,1018,1774
20200121,180,181,361,25727,28202,53929,832,1211,2043
20200122,193,180,373,27982,28899,56881,873,1371,2244
20200123,178,185,363,26925,28631,55556,468,955,1423
20200124,183,178,361,20883,25012,45895,437,888,1325
20200125,179,176,355,11893,21846,33739,243,801,1044
20200126,183,177,360,11286,23509,34795,333,503,836
20200127,170,178,348,13691,23550,37241,192,412,604
20200128,164,170,334,14883,20237,35120,281,454,735
20200129,176,166,342,14712,20212,34924,518,411,929
20200130,166,164,330,13095,19010,32105,581,432,1013
20200131,164,167,331,11277,17638,28915,869,540,1409
20200201,149,148,297,9552,15759,25311,799,425,1224
20200202,141,139,280,10042,14487,24529,637,387,1024
20200203,124,128,252,9277,12784,22061,478,393,871
20200204,112,111,223,7888,9560,17448,686,477,1163
20200205,114,110,224,7390,7511,14901,714,536,1250
20200206,101,100,201,5041,6115,11156,821,454,1275
20200207,95,97,192,5217,5214,10431,795,492,1287
20200208,90,93,183,6252,5142,11394,753,523,1276
20200209,101,99,200,8343,5946,14289,726,366,1092
20200210,75,78,153,4949,5385,10334,579,256,835
20200211,63,63,126,3097,3870,6967,634,378,1012
20200212,58,61,119,3405,4262,7667,716,548,1264
20200213,57,54,111,3040,3787,6827,880,702,1582
20200214,48,49,97,2964,3497,6461,772,648,1420
20200215,57,60,117,3762,4505,8267,804,896,1700
20200216,62,58,120,5300,4656,9956,746,563,1309
20200217,43,44,87,3801,3797,7598,331,441,772
20200218,43,40,83,3241,3704,6945,732,631,1363
20200219,43,40,83,3368,3515,6883,950,832,1782
20200220,48,48,96,3981,4491,8472,739,796,1535
20200221,45,45,90,3785,3762,7547,773,738,1511
20200222,45,45,90,4398,3630,8028,792,877,1669
20200223,50,46,96,6063,3923,9986,729,690,1419
20200224,38,36,74,4765,2525,7290,573,466,1039
20200225,50,46,96,4760,2197,6957,951,817,1768
20200226,49,47,96,5303,1773,7076,857,909,1766
20200227,50,44,94,4922,1505,6427,870,757,1627
20200228,58,55,113,6176,1270,7446,976,875,1851
20200229,60,58,118,6956,1422,8378,922,1041,1963
20200301,64,60,124,7182,1227,8409,662,810,1472
20200302,51,48,99,5598,761,6359,420,484,904
20200303,51,43,94,3376,452,3828,746,878,1624
20200304,41,37,78,3271,418,3689,596,1019,1615
