Date,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total
20191201,44,50,94,6545,8619,15164,971,1204,2175
20191202,35,39,74,5753,6126,11879,525,856,1381
20191203,39,32,71,5309,5391,10700,806,511,1317
20191204,37,39,76,4833,5323,10156,691,688,1379
20191205,41,38,79,4907,4725,9632,934,950,1884
20191206,45,43,88,6012,5972,11984,972,989,1961
20191207,45,42,87,6754,6280,13034,930,967,1897
20191208,47,52,99,6471,8392,14863,1128,1242,2370
20191209,34,38,72,5896,5781,11677,475,766,1241
20191210,37,34,71,4942,5062,10004,729,604,1333
20191211,38,39,77,5324,5546,10870,723,759,1482
20191212,39,38,77,5123,4976,10099,854,907,1761
20191213,44,43,87,6465,6739,13204,870,879,1749
20191214,43,41,84,7381,6605,13986,846,827,1673
20191215,47,49,96,7270,8952,16222,1032,1139,2171
20191216,34,38,72,5951,6945,12896,479,996,1475
20191217,39,34,73,6311,6080,12391,735,600,1335
20191218,37,40,77,6494,6764,13258,686,814,1500
20191219,42,37,79,7219,6710,13929,853,862,1715
20191220,42,43,85,7679,7942,15621,690,948,1638
20191221,46,43,89,8876,7936,16812,941,931,1872
20191222,45,50,95,8306,9508,17814,820,1329,2149
20191223,34,39,73,6818,7691,14509,410,990,1400
20191224,36,34,70,6680,6289,12969,626,650,1276
20191225,33,36,69,5837,6576,12413,396,750,1146
20191226,36,31,67,6200,5619,11819,519,751,1270
20191227,36,38,74,6619,7283,13902,658,621,1279
20191228,41,38,79,7549,6748,14297,690,659,1349
20191229,25,25,50,3732,4966,8698,399,222,621
20191230,19,17,36,3096,3577,6673,152,178,330
20191231,16,16,32,2778,3046,5824,160,251,411
20200101,32,36,68,6070,7244,13314,457,616,1073
20200102,34,30,64,7108,6717,13825,416,402,818
20200103,39,39,78,7606,8625,16231,692,348,1040
20200104,42,37,79,8461,7856,16317,835,503,1338
20200105,42,44,86,8856,9447,18303,700,702,1402
20200106,32,37,69,7507,7543,15050,442,654,1096
20200107,38,31,69,8141,6499,14640,729,312,1041
20200108,38,39,77,7712,5892,13604,683,485,1168
20200109,42,43,85,8168,5049,13217,863,849,1712
20200110,42,43,85,8337,6222,14559,814,635,1449
20200111,45,41,86,8972,5985,14957,983,736,1719
20200112,46,47,93,9283,7185,16468,1032,894,1926
20200113,35,39,74,7784,6164,13948,469,906,1375
20200114,37,34,71,7896,5810,13706,792,436,1228
20200115,37,41,78,7462,5834,13296,754,776,1530
20200116,41,39,80,7448,5724,13172,899,924,1823
20200117,43,42,85,8037,7609,15646,934,706,1640
20200118,45,42,87,8532,7200,15732,1023,825,1848
20200119,47,47,94,8497,8906,17403,1119,992,2111
20200120,35,42,77,7101,7404,14505,496,878,1374
20200121,39,35,74,7256,6867,14123,868,465,1333
20200122,38,40,78,6992,7037,14029,741,761,1502
20200123,42,40,82,7759,6922,14681,951,861,1812
20200124,42,44,86,7615,7573,15188,906,693,1599
20200125,44,41,85,6458,5441,11899,822,652,1474
