Date,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total
20191201,4,4,8,1255,1342,2597,34,65,99
20191202,5,5,10,1271,1547,2818,58,64,122
20191203,4,4,8,908,1255,2163,37,59,96
20191204,4,4,8,909,1283,2192,33,40,73
20191205,5,5,10,1248,1638,2886,47,80,127
20191206,4,4,8,1192,1435,2627,38,56,94
20191207,5,5,10,1489,1739,3228,60,61,121
20191208,5,5,10,1432,1807,3239,37,49,86
20191209,5,5,10,1358,1659,3017,46,56,102
20191210,4,4,8,1234,1469,2703,38,47,85
20191211,5,5,10,1572,1777,3349,46,58,104
20191212,5,5,10,1696,1783,3479,57,83,140
20191213,4,4,8,1436,1491,2927,51,54,105
20191214,6,6,12,1660,2098,3758,63,65,128
20191215,4,5,9,1196,1749,2945,31,63,94
20191216,6,5,11,1366,1738,3104,38,53,91
20191217,4,4,8,965,1460,2425,29,51,80
20191218,5,5,10,1510,1775,3285,47,73,120
20191219,5,5,10,1660,1717,3377,58,83,141
20191220,5,5,10,1711,1765,3476,50,65,115
20191221,5,5,10,1724,1750,3474,52,67,119
20191222,5,5,10,1699,1768,3467,36,71,107
20191223,5,5,10,1602,1661,3263,42,69,111
20191224,5,4,9,1506,1259,2765,29,51,80
20191225,6,7,13,1832,1973,3805,44,53,97
20191226,6,5,11,1677,1427,3104,40,41,81
20191227,6,6,12,1895,1768,3663,32,32,64
20191228,5,6,11,1672,1650,3322,42,53,95
20191229,1,2,3,303,490,793,3,7,10
20191230,2,1,3,552,236,788,20,14,34
20200101,6,7,13,1834,2048,3882,39,53,92
20200102,6,5,11,1917,1726,3643,44,35,79
20200103,6,6,12,2110,2050,4160,39,52,91
20200104,5,6,11,1761,2010,3771,48,56,104
20200105,5,6,11,1732,2042,3774,34,55,89
20200106,6,5,11,1989,1667,3656,49,45,94
20200107,5,4,9,1681,1327,3008,43,45,88
20200108,6,7,13,2037,1984,4021,56,69,125
20200109,6,5,11,2050,1229,3279,47,56,103
20200110,6,6,12,2060,1569,3629,51,57,108
20200111,5,6,11,1770,1801,3571,58,82,140
20200112,5,6,11,1755,1621,3376,37,64,101
20200113,6,4,10,1989,938,2927,48,44,92
20200114,5,5,10,1676,1283,2959,52,95,147
20200115,6,7,13,2032,1963,3995,62,96,158
20200116,6,5,11,2012,1388,3400,77,80,157
