Date,Daily_confirmed,Daily_deaths,Total_confirmed,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger,News_Daily_Total,News_Sum,News_Negative,News_Positive,Africa
20191201,0.0,0.0,0.0,0.0,1.0,1.0,0.0,115.0,115.0,0.0,4.0,4.0,8076.0,24.0,12.0,66.0,0.0,159.0,12.0,7.0,5.0,0.0
20191202,0.0,0.0,0.0,1.0,1.0,2.0,115.0,92.0,207.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,339.0,66.0,36.0,30.0,0.0
20191203,0.0,0.0,0.0,1.0,1.0,2.0,124.0,101.0,225.0,4.0,3.0,7.0,4038.0,2.0,8.0,28.0,0.0,376.0,52.0,30.0,22.0,0.0
20191204,0.0,0.0,0.0,1.0,2.0,3.0,49.0,164.0,213.0,2.0,93.0,95.0,0.0,0.0,0.0,0.0,0.0,440.0,40.0,28.0,12.0,0.0
20191205,0.0,0.0,0.0,1.0,0.0,1.0,128.0,0.0,128.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,433.0,49.0,26.0,23.0,0.0
20191206,0.0,0.0,0.0,1.0,1.0,2.0,276.0,117.0,393.0,4.0,3.0,7.0,4038.0,2.0,0.0,48.0,0.0,379.0,36.0,29.0,7.0,0.0
20191207,0.0,0.0,0.0,1.0,2.0,3.0,159.0,0.0,159.0,5.0,103.0,108.0,0.0,0.0,0.0,0.0,0.0,183.0,12.0,10.0,2.0,0.0
20191208,0.0,0.0,0.0,0.0,1.0,1.0,0.0,96.0,96.0,0.0,4.0,4.0,4038.0,10.0,14.0,24.0,0.0,151.0,9.0,8.0,1.0,0.0
20191209,0.0,0.0,0.0,1.0,1.0,2.0,144.0,107.0,251.0,6.0,6.0,12.0,4038.0,4.0,0.0,46.0,0.0,308.0,29.0,20.0,9.0,0.0
20191210,0.0,0.0,0.0,1.0,1.0,2.0,105.0,61.0,166.0,9.0,3.0,12.0,8076.0,4.0,0.0,92.0,0.0,354.0,35.0,31.0,4.0,0.0
20191211,0.0,0.0,0.0,1.0,2.0,3.0,45.0,102.0,147.0,2.0,39.0,41.0,0.0,0.0,0.0,0.0,0.0,404.0,28.0,20.0,8.0,0.0
20191212,0.0,0.0,0.0,1.0,0.0,1.0,126.0,0.0,126.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,314.0,49.0,41.0,8.0,0.0
20191213,0.0,0.0,0.0,1.0,1.0,2.0,288.0,166.0,454.0,4.0,4.0,8.0,4038.0,2.0,0.0,62.0,0.0,302.0,23.0,17.0,6.0,0.0
20191214,0.0,0.0,0.0,1.0,2.0,3.0,123.0,276.0,399.0,5.0,64.0,69.0,0.0,0.0,0.0,0.0,0.0,243.0,9.0,8.0,1.0,0.0
20191215,0.0,0.0,0.0,0.0,1.0,1.0,0.0,122.0,122.0,0.0,4.0,4.0,4038.0,2.0,0.0,42.0,0.0,144.0,6.0,6.0,0.0,0.0
20191216,0.0,0.0,0.0,1.0,1.0,2.0,172.0,91.0,263.0,7.0,3.0,10.0,4038.0,12.0,18.0,22.0,0.0,266.0,32.0,21.0,11.0,0.0
20191217,0.0,0.0,0.0,1.0,1.0,2.0,141.0,113.0,254.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,343.0,24.0,19.0,5.0,0.0
20191218,0.0,0.0,0.0,1.0,2.0,3.0,123.0,124.0,247.0,4.0,55.0,59.0,4038.0,2.0,0.0,58.0,0.0,351.0,27.0,21.0,6.0,0.0
20191219,0.0,0.0,0.0,1.0,0.0,1.0,163.0,0.0,163.0,6.0,0.0,6.0,4038.0,2.0,0.0,44.0,0.0,347.0,34.0,19.0,15.0,0.0
20191220,0.0,0.0,0.0,1.0,1.0,2.0,288.0,144.0,432.0,4.0,3.0,7.0,4038.0,2.0,0.0,52.0,0.0,364.0,51.0,42.0,9.0,0.0
20191221,0.0,0.0,0.0,2.0,2.0,4.0,374.0,288.0,662.0,10.0,80.0,90.0,4038.0,4.0,0.0,46.0,2.0,190.0,10.0,8.0,2.0,0.0
20191222,0.0,0.0,0.0,0.0,2.0,2.0,0.0,153.0,153.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,145.0,6.0,4.0,2.0,0.0
20191223,0.0,0.0,0.0,1.0,1.0,2.0,167.0,91.0,258.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,235.0,17.0,13.0,4.0,0.0
20191224,0.0,0.0,0.0,1.0,1.0,2.0,124.0,65.0,189.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,264.0,18.0,13.0,5.0,0.0
20191225,0.0,0.0,0.0,1.0,2.0,3.0,109.0,82.0,191.0,3.0,91.0,94.0,0.0,0.0,0.0,0.0,0.0,248.0,5.0,5.0,0.0,0.0
20191226,0.0,0.0,0.0,1.0,0.0,1.0,123.0,0.0,123.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,189.0,14.0,14.0,0.0,0.0
20191227,0.0,0.0,0.0,1.0,1.0,2.0,291.0,142.0,433.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,269.0,20.0,11.0,9.0,0.0
20191228,0.0,0.0,0.0,2.0,2.0,4.0,254.0,288.0,542.0,5.0,36.0,41.0,0.0,0.0,0.0,0.0,0.0,187.0,5.0,4.0,1.0,0.0
20191229,0.0,0.0,0.0,0.0,1.0,1.0,0.0,115.0,115.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,116.0,4.0,3.0,1.0,0.0
20191230,0.0,0.0,0.0,1.0,1.0,2.0,72.0,79.0,151.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,169.0,9.0,6.0,3.0,0.0
