Date,Daily_confirmed,Daily_deaths,Total_confirmed,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger,News_Daily_Total,News_Sum,News_Negative,News_Positive,Asia
20191201,0.0,0.0,0.0,940.0,939.0,1879.0,160641.0,162012.0,322653.0,3129.0,3225.0,6354.0,310926.0,5294.0,544.0,2050.0,1414.0,159.0,26.0,26.0,0.0,0.0
20191202,0.0,0.0,0.0,903.0,908.0,1811.0,147949.0,150402.0,298351.0,2489.0,2175.0,4664.0,193824.0,3352.0,262.0,1474.0,708.0,339.0,26.0,17.0,9.0,0.0
20191203,0.0,0.0,0.0,887.0,889.0,1776.0,136704.0,134976.0,271680.0,2818.0,2741.0,5559.0,222090.0,4634.0,324.0,1610.0,676.0,376.0,40.0,39.0,1.0,0.0
20191204,0.0,0.0,0.0,911.0,904.0,1815.0,142614.0,136517.0,279131.0,3380.0,2975.0,6355.0,306888.0,5654.0,400.0,2470.0,624.0,440.0,62.0,52.0,10.0,0.0
20191205,0.0,0.0,0.0,918.0,913.0,1831.0,154236.0,147486.0,301722.0,3266.0,3161.0,6427.0,242280.0,5464.0,506.0,1570.0,896.0,433.0,34.0,26.0,8.0,0.0
20191206,0.0,0.0,0.0,924.0,931.0,1855.0,157881.0,156078.0,313959.0,3335.0,3283.0,6618.0,226128.0,4688.0,304.0,1668.0,748.0,379.0,33.0,32.0,1.0,0.0
20191207,0.0,0.0,0.0,913.0,908.0,1821.0,154460.0,154475.0,308935.0,2975.0,2636.0,5611.0,302850.0,6808.0,502.0,2050.0,1218.0,183.0,26.0,25.0,1.0,0.0
20191208,0.0,0.0,0.0,942.0,936.0,1878.0,162723.0,164091.0,326814.0,2961.0,3223.0,6184.0,258432.0,5042.0,360.0,1772.0,1336.0,151.0,35.0,35.0,0.0,0.0
20191209,0.0,0.0,0.0,909.0,915.0,1824.0,156660.0,157573.0,314233.0,2798.0,2440.0,5238.0,246318.0,4054.0,380.0,1754.0,696.0,308.0,46.0,42.0,4.0,0.0
20191210,0.0,0.0,0.0,937.0,900.0,1837.0,145567.0,141580.0,287147.0,3225.0,2802.0,6027.0,278622.0,4858.0,568.0,1888.0,734.0,354.0,41.0,34.0,7.0,0.0
20191211,0.0,0.0,0.0,930.0,929.0,1859.0,152618.0,148511.0,301129.0,3401.0,3156.0,6557.0,371496.0,6562.0,512.0,2720.0,592.0,404.0,50.0,46.0,4.0,0.0
20191212,0.0,0.0,0.0,925.0,925.0,1850.0,160057.0,154821.0,314878.0,3577.0,3051.0,6628.0,306888.0,5442.0,684.0,5288.0,8652.0,314.0,35.0,35.0,0.0,0.0
20191213,0.0,0.0,0.0,926.0,934.0,1860.0,166877.0,164055.0,330932.0,3174.0,3034.0,6208.0,306888.0,4642.0,432.0,2298.0,662.0,302.0,31.0,26.0,5.0,0.0
20191214,0.0,0.0,0.0,918.0,912.0,1830.0,166094.0,164463.0,330557.0,3258.0,2731.0,5989.0,347268.0,5882.0,582.0,2544.0,1296.0,243.0,38.0,34.0,4.0,0.0
20191215,0.0,0.0,0.0,945.0,942.0,1887.0,173105.0,171145.0,344250.0,3335.0,3536.0,6871.0,298812.0,4562.0,398.0,2170.0,776.0,144.0,13.0,10.0,3.0,0.0
20191216,0.0,0.0,0.0,905.0,913.0,1818.0,167057.0,167795.0,334852.0,2556.0,2334.0,4890.0,278622.0,4348.0,420.0,2184.0,710.0,266.0,25.0,23.0,2.0,0.0
20191217,0.0,0.0,0.0,904.0,893.0,1797.0,156744.0,154582.0,311326.0,3363.0,3043.0,6406.0,250356.0,4998.0,316.0,1782.0,820.0,343.0,54.0,49.0,5.0,0.0
20191218,0.0,0.0,0.0,925.0,927.0,1852.0,163486.0,161163.0,324649.0,3538.0,3340.0,6878.0,274584.0,5198.0,372.0,2012.0,792.0,351.0,35.0,33.0,2.0,0.0
20191219,0.0,0.0,0.0,931.0,923.0,1854.0,169939.0,164635.0,334574.0,3710.0,3342.0,7052.0,306888.0,5804.0,570.0,2162.0,680.0,347.0,46.0,41.0,5.0,0.0
20191220,0.0,0.0,0.0,929.0,937.0,1866.0,169529.0,170027.0,339556.0,3449.0,3279.0,6728.0,246318.0,4516.0,372.0,1816.0,942.0,364.0,49.0,46.0,3.0,0.0
20191221,0.0,0.0,0.0,929.0,922.0,1851.0,169076.0,168953.0,338029.0,3263.0,2958.0,6221.0,310926.0,5850.0,458.0,2298.0,1826.0,190.0,27.0,27.0,0.0,0.0
20191222,0.0,0.0,0.0,954.0,950.0,1904.0,169368.0,169345.0,338713.0,3226.0,3528.0,6754.0,323040.0,6040.0,444.0,2204.0,1254.0,145.0,24.0,23.0,1.0,0.0
20191223,0.0,0.0,0.0,910.0,913.0,1823.0,157680.0,162543.0,320223.0,2659.0,2319.0,4978.0,20190.0,408.0,32.0,156.0,0.0,235.0,32.0,31.0,1.0,0.0
20191224,0.0,0.0,0.0,905.0,912.0,1817.0,153940.0,158296.0,312236.0,3058.0,3142.0,6200.0,0.0,0.0,0.0,0.0,0.0,264.0,37.0,37.0,0.0,0.0
20191225,0.0,0.0,0.0,957.0,943.0,1900.0,156791.0,158477.0,315268.0,3633.0,3348.0,6981.0,0.0,0.0,0.0,0.0,0.0,248.0,44.0,43.0,1.0,0.0
20191226,0.0,0.0,0.0,929.0,924.0,1853.0,165196.0,160407.0,325603.0,2958.0,3172.0,6130.0,0.0,0.0,0.0,0.0,0.0,189.0,28.0,25.0,3.0,0.0
20191227,0.0,0.0,0.0,939.0,947.0,1886.0,168772.0,164665.0,333437.0,3060.0,3063.0,6123.0,0.0,0.0,0.0,0.0,0.0,269.0,37.0,36.0,1.0,0.0
20191228,0.0,0.0,0.0,933.0,921.0,1854.0,179547.0,170363.0,349910.0,3168.0,2936.0,6104.0,0.0,0.0,0.0,0.0,0.0,187.0,29.0,29.0,0.0,0.0
20191229,0.0,0.0,0.0,884.0,877.0,1761.0,161290.0,161254.0,322544.0,1836.0,2015.0,3851.0,0.0,0.0,0.0,0.0,0.0,116.0,5.0,5.0,0.0,0.0
20191230,0.0,0.0,0.0,857.0,856.0,1713.0,157182.0,156825.0,314007.0,1769.0,1756.0,3525.0,0.0,0.0,0.0,0.0,0.0,169.0,31.0,27.0,4.0,0.0
20191231,0.0,0.0,0.0,852.0,856.0,1708.0,151204.0,149221.0,300425.0,2175.0,1876.0,4051.0,0.0,0.0,0.0,0.0,0.0,298.0,54.0,50.0,4.0,0.0
