Date,Daily_confirmed,Daily_deaths,Total_confirmed,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger,News_Daily_Total,News_Sum,News_Negative,News_Positive,China
20191201,0.0,0.0,0.0,174.0,176.0,350.0,25424.0,25769.0,51193.0,874.0,1042.0,1916.0,258432.0,1488.0,286.0,2254.0,1206.0,159.0,3.0,2.0,1.0,0.0
20191202,0.0,0.0,0.0,167.0,170.0,337.0,24090.0,23077.0,47167.0,615.0,790.0,1405.0,278622.0,3624.0,316.0,2786.0,5700.0,339.0,1.0,1.0,0.0,0.0
20191203,0.0,0.0,0.0,171.0,173.0,344.0,21293.0,19728.0,41021.0,833.0,1009.0,1842.0,335154.0,3824.0,374.0,3134.0,5424.0,376.0,10.0,10.0,0.0,0.0
20191204,0.0,0.0,0.0,179.0,167.0,346.0,22142.0,18476.0,40618.0,950.0,1077.0,2027.0,278622.0,3458.0,228.0,2720.0,5916.0,440.0,13.0,11.0,2.0,0.0
20191205,0.0,0.0,0.0,172.0,176.0,348.0,21393.0,22290.0,43683.0,883.0,1020.0,1903.0,270546.0,3706.0,334.0,2586.0,5672.0,433.0,1.0,0.0,1.0,0.0
20191206,0.0,0.0,0.0,182.0,180.0,362.0,23943.0,25293.0,49236.0,1037.0,1047.0,2084.0,319002.0,3844.0,490.0,4256.0,6914.0,379.0,10.0,9.0,1.0,0.0
20191207,0.0,0.0,0.0,171.0,168.0,339.0,21325.0,22775.0,44100.0,863.0,964.0,1827.0,270546.0,3610.0,466.0,2328.0,4860.0,183.0,1.0,1.0,0.0,0.0
20191208,0.0,0.0,0.0,160.0,158.0,318.0,21931.0,23570.0,45501.0,775.0,929.0,1704.0,266508.0,1818.0,284.0,2402.0,3080.0,151.0,2.0,2.0,0.0,0.0
20191209,0.0,0.0,0.0,165.0,168.0,333.0,22455.0,23269.0,45724.0,662.0,687.0,1349.0,339192.0,4454.0,336.0,3412.0,5732.0,308.0,1.0,1.0,0.0,0.0
20191210,0.0,0.0,0.0,161.0,165.0,326.0,19990.0,19771.0,39761.0,844.0,858.0,1702.0,286698.0,3878.0,458.0,2660.0,5826.0,354.0,4.0,4.0,0.0,0.0
20191211,0.0,0.0,0.0,180.0,168.0,348.0,22174.0,20826.0,43000.0,1123.0,1031.0,2154.0,250356.0,3256.0,268.0,2526.0,5924.0,404.0,18.0,18.0,0.0,0.0
20191212,0.0,0.0,0.0,174.0,172.0,346.0,22358.0,21960.0,44318.0,985.0,983.0,1968.0,298812.0,3772.0,400.0,3108.0,5860.0,314.0,3.0,3.0,0.0,0.0
20191213,0.0,0.0,0.0,173.0,177.0,350.0,24201.0,25990.0,50191.0,940.0,991.0,1931.0,343230.0,4138.0,472.0,3234.0,7192.0,302.0,2.0,2.0,0.0,0.0
20191214,0.0,0.0,0.0,175.0,166.0,341.0,24540.0,24421.0,48961.0,1168.0,1172.0,2340.0,286698.0,3190.0,316.0,2774.0,7250.0,243.0,0.0,0.0,0.0,0.0
20191215,0.0,0.0,0.0,174.0,177.0,351.0,26407.0,28178.0,54585.0,881.0,987.0,1868.0,266508.0,2366.0,368.0,1994.0,1052.0,144.0,0.0,0.0,0.0,0.0
20191216,0.0,0.0,0.0,171.0,171.0,342.0,26562.0,26451.0,53013.0,806.0,785.0,1591.0,335154.0,4186.0,432.0,3188.0,5702.0,266.0,1.0,1.0,0.0,0.0
20191217,0.0,0.0,0.0,167.0,169.0,336.0,23809.0,22160.0,45969.0,1024.0,884.0,1908.0,310926.0,4132.0,394.0,2998.0,7034.0,343.0,11.0,11.0,0.0,0.0
20191218,0.0,0.0,0.0,179.0,169.0,348.0,26717.0,22293.0,49010.0,1167.0,973.0,2140.0,262470.0,3376.0,258.0,2632.0,4652.0,351.0,11.0,11.0,0.0,0.0
20191219,0.0,0.0,0.0,174.0,176.0,350.0,27650.0,23508.0,51158.0,1180.0,944.0,2124.0,238242.0,3166.0,288.0,2458.0,5932.0,347.0,7.0,6.0,1.0,0.0
20191220,0.0,0.0,0.0,176.0,177.0,353.0,29618.0,26255.0,55873.0,1139.0,980.0,2119.0,314964.0,4336.0,440.0,3182.0,6396.0,364.0,6.0,6.0,0.0,0.0
20191221,0.0,0.0,0.0,173.0,169.0,342.0,29913.0,25044.0,54957.0,1177.0,1117.0,2294.0,278622.0,3722.0,412.0,2494.0,3656.0,190.0,0.0,0.0,0.0,0.0
20191222,0.0,0.0,0.0,181.0,178.0,359.0,30519.0,25603.0,56122.0,1018.0,873.0,1891.0,278622.0,1992.0,296.0,2186.0,1014.0,145.0,0.0,0.0,0.0,0.0
20191223,0.0,0.0,0.0,176.0,178.0,354.0,28708.0,24028.0,52736.0,728.0,704.0,1432.0,8076.0,100.0,0.0,86.0,2.0,235.0,0.0,0.0,0.0,0.0
20191224,0.0,0.0,0.0,171.0,170.0,341.0,25592.0,20999.0,46591.0,1090.0,812.0,1902.0,0.0,0.0,0.0,0.0,0.0,264.0,4.0,4.0,0.0,0.0
20191225,0.0,0.0,0.0,182.0,171.0,353.0,27656.0,19722.0,47378.0,1226.0,1025.0,2251.0,0.0,0.0,0.0,0.0,0.0,248.0,10.0,10.0,0.0,0.0
20191226,0.0,0.0,0.0,172.0,179.0,351.0,27668.0,22029.0,49697.0,855.0,914.0,1769.0,0.0,0.0,0.0,0.0,0.0,189.0,1.0,1.0,0.0,0.0
20191227,0.0,0.0,0.0,175.0,179.0,354.0,29610.0,24820.0,54430.0,1075.0,883.0,1958.0,0.0,0.0,0.0,0.0,0.0,269.0,7.0,7.0,0.0,0.0
20191228,0.0,0.0,0.0,179.0,170.0,349.0,29800.0,25838.0,55638.0,1158.0,992.0,2150.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0
20191229,0.0,0.0,0.0,118.0,117.0,235.0,18114.0,16434.0,34548.0,365.0,336.0,701.0,0.0,0.0,0.0,0.0,0.0,116.0,1.0,0.0,1.0,0.0
20191230,0.0,0.0,0.0,110.0,110.0,220.0,16851.0,14744.0,31595.0,297.0,222.0,519.0,0.0,0.0,0.0,0.0,0.0,169.0,2.0,2.0,0.0,0.0
20191231,27.0,0.0,27.0,112.0,112.0,224.0,15956.0,14914.0,30870.0,561.0,311.0,872.0,0.0,0.0,0.0,0.0,0.0,298.0,7.0,7.0,0.0,0.0
