Date,Daily_confirmed,Daily_deaths,Total_confirmed,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger,News_Daily_Total,News_Sum,News_Negative,News_Positive,Europe
20191201,0.0,0.0,0.0,44.0,50.0,94.0,6545.0,8619.0,15164.0,971.0,1204.0,2175.0,24228.0,44.0,18.0,232.0,0.0,159.0,13.0,12.0,1.0,0.0
20191202,0.0,0.0,0.0,35.0,39.0,74.0,5753.0,6126.0,11879.0,525.0,856.0,1381.0,44418.0,80.0,8.0,468.0,0.0,339.0,32.0,31.0,1.0,0.0
20191203,0.0,0.0,0.0,39.0,32.0,71.0,5309.0,5391.0,10700.0,806.0,511.0,1317.0,44418.0,368.0,12.0,448.0,0.0,376.0,32.0,27.0,5.0,0.0
20191204,0.0,0.0,0.0,37.0,39.0,76.0,4833.0,5323.0,10156.0,691.0,688.0,1379.0,24228.0,50.0,62.0,226.0,0.0,440.0,47.0,45.0,2.0,0.0
20191205,0.0,0.0,0.0,41.0,38.0,79.0,4907.0,4725.0,9632.0,934.0,950.0,1884.0,44418.0,174.0,28.0,378.0,0.0,433.0,33.0,32.0,1.0,0.0
20191206,0.0,0.0,0.0,45.0,43.0,88.0,6012.0,5972.0,11984.0,972.0,989.0,1961.0,44418.0,64.0,8.0,464.0,0.0,379.0,42.0,41.0,1.0,0.0
20191207,0.0,0.0,0.0,45.0,42.0,87.0,6754.0,6280.0,13034.0,930.0,967.0,1897.0,20190.0,166.0,28.0,186.0,0.0,183.0,12.0,12.0,0.0,0.0
20191208,0.0,0.0,0.0,47.0,52.0,99.0,6471.0,8392.0,14863.0,1128.0,1242.0,2370.0,12114.0,112.0,18.0,86.0,0.0,151.0,10.0,8.0,2.0,0.0
20191209,0.0,0.0,0.0,34.0,38.0,72.0,5896.0,5781.0,11677.0,475.0,766.0,1241.0,44418.0,94.0,16.0,472.0,0.0,308.0,7.0,7.0,0.0,0.0
20191210,0.0,0.0,0.0,37.0,34.0,71.0,4942.0,5062.0,10004.0,729.0,604.0,1333.0,52494.0,272.0,4.0,472.0,0.0,354.0,35.0,34.0,1.0,0.0
20191211,0.0,0.0,0.0,38.0,39.0,77.0,5324.0,5546.0,10870.0,723.0,759.0,1482.0,40380.0,122.0,18.0,398.0,0.0,404.0,32.0,31.0,1.0,0.0
20191212,0.0,0.0,0.0,39.0,38.0,77.0,5123.0,4976.0,10099.0,854.0,907.0,1761.0,16152.0,144.0,18.0,144.0,0.0,314.0,28.0,28.0,0.0,0.0
20191213,0.0,0.0,0.0,44.0,43.0,87.0,6465.0,6739.0,13204.0,870.0,879.0,1749.0,36342.0,76.0,4.0,364.0,0.0,302.0,27.0,25.0,2.0,0.0
20191214,0.0,0.0,0.0,43.0,41.0,84.0,7381.0,6605.0,13986.0,846.0,827.0,1673.0,36342.0,244.0,98.0,292.0,4.0,243.0,23.0,23.0,0.0,0.0
20191215,0.0,0.0,0.0,47.0,49.0,96.0,7270.0,8952.0,16222.0,1032.0,1139.0,2171.0,52494.0,76.0,6.0,470.0,4.0,144.0,12.0,12.0,0.0,0.0
20191216,0.0,0.0,0.0,34.0,38.0,72.0,5951.0,6945.0,12896.0,479.0,996.0,1475.0,48456.0,98.0,0.0,484.0,6.0,266.0,11.0,10.0,1.0,0.0
20191217,0.0,0.0,0.0,39.0,34.0,73.0,6311.0,6080.0,12391.0,735.0,600.0,1335.0,28266.0,210.0,0.0,312.0,6.0,343.0,34.0,33.0,1.0,0.0
20191218,0.0,0.0,0.0,37.0,40.0,77.0,6494.0,6764.0,13258.0,686.0,814.0,1500.0,24228.0,42.0,20.0,1376.0,2458.0,351.0,36.0,35.0,1.0,0.0
20191219,0.0,0.0,0.0,42.0,37.0,79.0,7219.0,6710.0,13929.0,853.0,862.0,1715.0,44418.0,108.0,0.0,440.0,0.0,347.0,35.0,34.0,1.0,0.0
