Date,Daily_confirmed,Daily_deaths,Total_confirmed,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total,Ship_year,Ship_count,Date.1,Ship_crew(korea),Ship_crew(foreign),Ship_passenger,News_Daily_Total,News_Sum,News_Negative,News_Positive,Oceania
20191201,0.0,0.0,0.0,4.0,4.0,8.0,1255.0,1342.0,2597.0,34.0,65.0,99.0,0,0,0,0,0,0,159.0,90.0,79.0,11.0,0.0
20191202,0.0,0.0,0.0,5.0,5.0,10.0,1271.0,1547.0,2818.0,58.0,64.0,122.0,0,0,0,0,0,0,339.0,203.0,169.0,34.0,0.0
20191203,0.0,0.0,0.0,4.0,4.0,8.0,908.0,1255.0,2163.0,37.0,59.0,96.0,0,0,0,0,0,0,376.0,230.0,201.0,29.0,0.0
20191204,0.0,0.0,0.0,4.0,4.0,8.0,909.0,1283.0,2192.0,33.0,40.0,73.0,0,0,0,0,0,0,440.0,257.0,230.0,27.0,0.0
20191205,0.0,0.0,0.0,5.0,5.0,10.0,1248.0,1638.0,2886.0,47.0,80.0,127.0,0,0,0,0,0,0,433.0,306.0,275.0,31.0,0.0
20191206,0.0,0.0,0.0,4.0,4.0,8.0,1192.0,1435.0,2627.0,38.0,56.0,94.0,0,0,0,0,0,0,379.0,242.0,207.0,35.0,0.0
20191207,0.0,0.0,0.0,5.0,5.0,10.0,1489.0,1739.0,3228.0,60.0,61.0,121.0,0,0,0,0,0,0,183.0,131.0,112.0,19.0,0.0
20191208,0.0,0.0,0.0,5.0,5.0,10.0,1432.0,1807.0,3239.0,37.0,49.0,86.0,0,0,0,0,0,0,151.0,94.0,90.0,4.0,0.0
20191209,0.0,0.0,0.0,5.0,5.0,10.0,1358.0,1659.0,3017.0,46.0,56.0,102.0,0,0,0,0,0,0,308.0,217.0,200.0,17.0,0.0
20191210,0.0,0.0,0.0,4.0,4.0,8.0,1234.0,1469.0,2703.0,38.0,47.0,85.0,0,0,0,0,0,0,354.0,224.0,198.0,26.0,0.0
20191211,0.0,0.0,0.0,5.0,5.0,10.0,1572.0,1777.0,3349.0,46.0,58.0,104.0,0,0,0,0,0,0,404.0,250.0,230.0,20.0,0.0
20191212,0.0,0.0,0.0,5.0,5.0,10.0,1696.0,1783.0,3479.0,57.0,83.0,140.0,0,0,0,0,0,0,314.0,189.0,174.0,15.0,0.0
20191213,0.0,0.0,0.0,4.0,4.0,8.0,1436.0,1491.0,2927.0,51.0,54.0,105.0,0,0,0,0,0,0,302.0,200.0,161.0,39.0,0.0
20191214,0.0,0.0,0.0,6.0,6.0,12.0,1660.0,2098.0,3758.0,63.0,65.0,128.0,0,0,0,0,0,0,243.0,164.0,147.0,17.0,0.0
20191215,0.0,0.0,0.0,4.0,5.0,9.0,1196.0,1749.0,2945.0,31.0,63.0,94.0,0,0,0,0,0,0,144.0,111.0,99.0,12.0,0.0
20191216,0.0,0.0,0.0,6.0,5.0,11.0,1366.0,1738.0,3104.0,38.0,53.0,91.0,0,0,0,0,0,0,266.0,189.0,165.0,24.0,0.0
20191217,0.0,0.0,0.0,4.0,4.0,8.0,965.0,1460.0,2425.0,29.0,51.0,80.0,0,0,0,0,0,0,343.0,204.0,179.0,25.0,0.0
20191218,0.0,0.0,0.0,5.0,5.0,10.0,1510.0,1775.0,3285.0,47.0,73.0,120.0,0,0,0,0,0,0,351.0,222.0,202.0,20.0,0.0
20191219,0.0,0.0,0.0,5.0,5.0,10.0,1660.0,1717.0,3377.0,58.0,83.0,141.0,0,0,0,0,0,0,347.0,210.0,194.0,16.0,0.0
20191220,0.0,0.0,0.0,5.0,5.0,10.0,1711.0,1765.0,3476.0,50.0,65.0,115.0,0,0,0,0,0,0,364.0,202.0,172.0,30.0,0.0
20191221,0.0,0.0,0.0,5.0,5.0,10.0,1724.0,1750.0,3474.0,52.0,67.0,119.0,0,0,0,0,0,0,190.0,124.0,111.0,13.0,0.0
20191222,0.0,0.0,0.0,5.0,5.0,10.0,1699.0,1768.0,3467.0,36.0,71.0,107.0,0,0,0,0,0,0,145.0,100.0,89.0,11.0,0.0
20191223,0.0,0.0,0.0,5.0,5.0,10.0,1602.0,1661.0,3263.0,42.0,69.0,111.0,0,0,0,0,0,0,235.0,165.0,149.0,16.0,0.0
20191224,0.0,0.0,0.0,5.0,4.0,9.0,1506.0,1259.0,2765.0,29.0,51.0,80.0,0,0,0,0,0,0,264.0,183.0,172.0,11.0,0.0
20191225,0.0,0.0,0.0,6.0,7.0,13.0,1832.0,1973.0,3805.0,44.0,53.0,97.0,0,0,0,0,0,0,248.0,136.0,127.0,9.0,0.0
20191226,0.0,0.0,0.0,6.0,5.0,11.0,1677.0,1427.0,3104.0,40.0,41.0,81.0,0,0,0,0,0,0,189.0,118.0,105.0,13.0,0.0
20191227,0.0,0.0,0.0,6.0,6.0,12.0,1895.0,1768.0,3663.0,32.0,32.0,64.0,0,0,0,0,0,0,269.0,170.0,144.0,26.0,0.0
20191228,0.0,0.0,0.0,5.0,6.0,11.0,1672.0,1650.0,3322.0,42.0,53.0,95.0,0,0,0,0,0,0,187.0,127.0,116.0,11.0,0.0
20191229,0.0,0.0,0.0,1.0,2.0,3.0,303.0,490.0,793.0,3.0,7.0,10.0,0,0,0,0,0,0,116.0,81.0,73.0,8.0,0.0
20191230,0.0,0.0,0.0,2.0,1.0,3.0,552.0,236.0,788.0,20.0,14.0,34.0,0,0,0,0,0,0,169.0,106.0,98.0,8.0,0.0
20191231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,298.0,161.0,144.0,17.0,0.0
20200101,0.0,0.0,0.0,6.0,7.0,13.0,1834.0,2048.0,3882.0,39.0,53.0,92.0,0,0,0,0,0,0,263.0,130.0,123.0,7.0,0.0
20200102,0.0,0.0,0.0,6.0,5.0,11.0,1917.0,1726.0,3643.0,44.0,35.0,79.0,0,0,0,0,0,0,279.0,169.0,150.0,19.0,0.0
