Date,Daily_confirmed,Daily_deaths,Total_confirmed
20200215,1.0,0,1
20200226,1.0,0,1
20200228,1.0,0,1
20200301,2.0,0,3
20200302,1.0,0,2
20200303,3.0,0,3
20200304,2.0,0,5
20200305,9.0,0,15
20200306,9.0,0,27
20200307,14.0,0,17
20200308,1.0,0,2
20200309,39.0,1,74
20200310,12.0,0,66
20200311,10.0,0,67
20200312,13.0,1,86
20200313,41.0,2,150
20200314,43.0,1,191
20200315,35.0,1,93
20200316,84.0,2,299
20200317,77.0,0,373
20200318,92.0,4,437
20200319,137.0,4,605
20200320,111.0,1,638
20200321,230.0,7,921
20200322,201.0,11,1085
20200323,213.0,9,1234
20200324,349.0,8,1614
20200325,465.0,12,2093
20200326,487.0,8,2458
20200327,588.0,12,3043
20200328,526.0,19,3418
20200329,320.0,21,3789
20200330,504.0,19,4118
20200331,506.0,23,4722
20200401,489.0,23,4880
20200402,622.0,35,6098
20200403,635.0,32,6415
20200404,625.0,49,4959
20200405,932.0,74,8210
20200406,735.0,55,8543
20200407,627.0,43,9496
20200408,722.0,45,9755
20200409,922.0,51,11272
20200410,834.0,57,11016
20200411,672.0,61,12256
20200412,714.0,52,13084
20200413,856.0,46,13681
20200414,769.0,46,13032
20200415,989.0,41,14939
20200416,962.0,35,15733
20200417,1086.0,54,16757
20200418,1568.0,51,18603
20200419,1160.0,41,18114
20200420,1246.0,63,21615
20200421,964.0,35,20057
20200422,1350.0,34,21620
20200423,1069.0,43,20796
20200424,1535.0,54,25050
20200425,1854.0,48,28423
20200426,1241.0,44,27719
20200427,1432.0,37,26384
20200428,1414.0,55,30588
20200429,1770.0,54,33564
20200430,1803.0,67,33582
20200501,2115.0,44,34957
20200502,1907.0,55,36239
20200503,2019.0,70,40267
20200504,1659.0,39,35232
20200505,2687.0,46,44765
20200506,2096.0,79,42325
