Date,Daily_confirmed,Daily_deaths,Total_confirmed
20200121,1.0,0,1
20200125,1.0,0,2
20200126,1.0,0,1
20200127,3.0,0,5
20200128,1.0,0,2
20200129,1.0,0,3
20200131,1.0,0,6
20200201,2.0,0,11
20200202,1.0,0,8
20200203,3.0,0,11
20200205,1.0,0,5
20200206,1.0,0,12
20200207,2.0,0,7
20200211,1.0,0,13
20200213,1.0,0,14
20200214,1.0,0,15
20200215,1.0,0,8
20200221,2.0,0,25
20200222,19.0,0,35
20200225,20.0,0,64
20200226,1.0,0,1
20200227,7.0,0,71
20200228,3.0,0,74
20200229,10.0,0,84
20200301,11.0,1,96
20200302,31.0,1,125
20200303,18.0,4,137
20200304,26.0,3,156
20200305,41.0,2,205
20200306,95.0,1,301
20200307,126.0,2,415
20200308,103.0,4,500
20200309,154.0,4,686
20200310,228.0,6,873
20200311,321.0,3,1224
20200312,356.0,2,1549
20200313,458.0,11,2017
20200314,643.0,9,2692
20200315,953.0,11,3600
20200316,1061.0,13,4635
20200317,1209.0,19,5882
20200318,2145.0,28,7998
20200319,3515.0,49,11514
20200320,5508.0,6,17004
20200321,6300.0,128,23338
20200322,8228.0,101,31532
20200323,9675.0,148,41180
20200324,12382.0,142,53612
20200325,10003.0,246,63635
20200326,16525.0,279,80113
20200327,18693.0,291,98838
20200328,20797.0,477,119274
20200329,22121.0,545,141618
20200330,20578.0,388,162220
20200331,23905.0,754,186085
20200401,28420.0,1008,213451
20200402,31023.0,1210,245495
20200403,32687.0,1042,278250
20200404,36177.0,1283,314366
20200405,38052.0,1561,352536
20200406,29574.0,1315,382045
20200407,33831.0,1535,415794
20200408,35259.0,2174,451217
20200409,40211.0,2213,491212
20200410,40012.0,2216,531326
20200411,42939.0,2397,574221
20200412,33086.0,2104,607222
20200413,32212.0,1788,639346
20200414,28589.0,1791,660493
20200415,34077.0,2883,701926
20200416,37267.0,5378,739327
20200417,38216.0,2793,777180
20200418,38795.0,4247,816335
20200419,40264.0,2457,855894
20200420,31628.0,2142,888052
20200421,34858.0,2230,922682
20200422,44580.0,3073,966326
20200423,25924.0,2248,993350
20200424,36221.0,3959,1028876
20200425,29672.0,1837,1058583
20200426,61443.0,2895,1109592
20200427,47328.0,2080,1167833
20200428,32210.0,2107,1194204
20200429,36923.0,3206,1236734
20200430,40449.0,3497,1277536
20200501,44746.0,2975,1322466
20200502,49866.0,3099,1372047
20200503,42297.0,2436,1414400
20200504,40469.0,2111,1454893
20200505,36972.0,1961,1491766
20200506,38546.0,3327,1498572
