Date,Daily_confirmed,Daily_deaths,Total_confirmed
20200113,1.0,0,1
20200115,1.0,0,1
20200117,1.0,0,2
20200120,1.0,0,1
20200121,1.0,0,1
20200122,2.0,0,4
20200124,7.0,0,9
20200125,7.0,0,12
20200126,4.0,0,14
20200127,7.0,0,18
20200128,12.0,0,32
20200129,9.0,0,29
20200130,12.0,0,27
20200131,14.0,0,56
20200201,15.0,0,72
20200202,14.0,1,68
20200203,2.0,0,28
20200204,3.0,0,28
20200205,23.0,0,123
20200206,12.0,0,66
20200207,12.0,0,96
20200208,15.0,0,117
20200209,11.0,0,113
20200210,7.0,0,88
20200211,5.0,0,96
20200212,3.0,0,80
20200213,8.0,1,95
20200214,10.0,0,107
20200215,20.0,0,160
20200216,21.0,0,175
20200217,14.0,1,193
20200218,6.0,0,165
20200219,26.0,0,193
20200220,59.0,2,274
20200221,88.0,1,338
20200222,222.0,3,593
20200223,298.0,4,863
20200224,195.0,5,983
20200225,160.0,5,1121
20200226,346.0,6,1610
20200227,547.0,7,2109
20200228,591.0,8,2710
20200229,1097.0,11,3853
20200301,831.0,13,4630
20200302,1123.0,17,5762
20200303,1146.0,18,6566
20200304,1396.0,15,8242
20200305,1138.0,18,9358
20200306,1188.0,24,10542
20200307,1862.0,19,12431
20200308,1579.0,27,14010
20200309,1125.0,55,15062
20200310,898.0,48,15967
20200311,1320.0,64,17375
20200312,1611.0,77,18972
20200313,1360.0,81,19875
20200314,1816.0,101,22098
20200315,1799.0,102,23644
20200316,1916.0,122,25865
20200317,1832.0,141,27690
20200318,1923.0,146,29092
20200319,2001.0,158,31174
20200320,2242.0,180,33769
20200321,2268.0,166,35893
20200322,2740.0,156,38950
20200323,2406.0,170,40855
20200324,2966.0,159,44309
20200325,3882.0,148,48250
20200326,4174.0,173,52316
20200327,4260.0,221,56239
20200328,5157.0,184,59347
20200329,5857.0,206,67665
20200330,5425.0,176,72138
20200331,6220.0,180,77928
20200401,5328.0,192,69074
20200402,6474.0,214,89798
20200403,6724.0,208,95212
20200404,3790.0,81,41558
20200405,9694.0,370,110428
20200406,7317.0,260,118017
20200407,6508.0,207,125009
20200408,5940.0,245,129277
20200409,5756.0,204,136294
20200410,6491.0,263,142915
20200411,6753.0,236,132860
20200412,8279.0,299,158225
20200413,6906.0,296,164744
20200414,7885.0,246,172592
20200415,7517.0,291,180449
20200416,7442.0,227,186158
20200417,8371.0,227,195537
20200418,7889.0,249,200739
20200419,8975.0,198,211411
20200420,8678.0,257,221627
20200421,9906.0,234,231361
20200422,8986.0,234,237472
20200423,8853.0,322,237734
20200424,10925.0,254,257552
20200425,9576.0,278,258506
20200426,11024.0,248,280671
20200427,9555.0,196,286782
20200428,9425.0,277,298325
20200429,9861.0,251,303813
20200430,10338.0,278,317500
20200501,11559.0,273,330188
20200502,12182.0,255,340128
20200503,11604.0,311,353895
20200504,12238.0,243,367741
20200505,13859.0,395,381339
20200506,13769.0,317,394386
