Date,Daily_confirmed,Daily_deaths,Total_confirmed
20191231,27.0,0,27
20200103,17.0,0,44
20200105,15.0,0,59
20200111,0.0,1,59
20200115,0.0,1,59
20200117,4.0,0,63
20200118,17.0,0,80
20200119,136.0,1,216
20200120,19.0,0,235
20200121,151.0,3,386
20200122,140.0,11,526
20200123,97.0,0,623
20200124,259.0,9,882
20200125,441.0,15,1323
20200126,665.0,15,1988
20200127,787.0,25,2775
20200128,1753.0,25,4528
20200129,1466.0,26,5994
20200130,1740.0,38,7734
20200131,1980.0,43,9714
20200201,2095.0,46,11809
20200202,2590.0,45,14399
20200203,2812.0,57,17211
20200204,3237.0,65,20448
20200205,3872.0,66,24320
20200206,3727.0,72,28047
20200207,3160.0,73,31207
20200208,3418.0,86,34625
20200209,2607.0,89,37232
20200210,2974.0,97,40206
20200211,2490.0,108,42696
20200212,2028.0,97,44724
20200213,15141.0,254,59865
20200214,4156.0,13,64021
20200215,2538.0,143,66559
20200216,2007.0,142,68566
20200217,2052.0,105,70618
20200218,1890.0,98,72508
20200219,1750.0,139,74258
20200220,394.0,112,74652
20200221,891.0,118,75543
20200222,826.0,109,76369
20200223,647.0,98,77016
20200224,218.0,150,77234
20200225,515.0,70,77749
20200226,410.0,52,78159
20200227,439.0,29,78598
20200228,329.0,44,78927
20200229,428.0,47,79355
20200301,574.0,35,79929
20200302,205.0,42,80134
20200303,127.0,32,80261
20200304,119.0,37,80380
20200305,117.0,31,80497
20200306,170.0,30,80667
20200307,101.0,28,80768
20200308,46.0,27,80814
20200309,45.0,23,80859
20200310,20.0,17,80879
20200311,29.0,22,80908
20200312,24.0,11,80932
20200313,22.0,7,80954
20200314,19.0,15,80973
20200315,22.0,9,80995
20200316,25.0,13,81020
20200317,43.0,9,81063
20200318,23.0,16,81086
20200319,44.0,8,81130
20200320,99.0,4,81229
20200321,52.0,6,81281
20200322,65.0,6,81346
20200323,138.0,9,81484
20200324,69.0,7,81553
20200325,78.0,4,81631
20200326,102.0,6,81733
20200327,94.0,5,81827
20200328,119.0,3,81946
20200329,113.0,5,82059
20200330,98.0,2,82157
20200331,84.0,3,82241
20200401,54.0,1,82295
20200402,100.0,6,82395
20200403,70.0,10,82465
20200404,62.0,4,82527
20200405,48.0,3,82575
20200406,67.0,2,82642
20200407,56.0,0,82698
20200408,86.0,2,82784
20200409,86.0,2,82870
20200410,55.0,1,82925
20200411,79.0,3,83004
20200412,93.0,0,83097
20200413,112.0,2,83209
20200414,94.0,0,83303
20200415,49.0,1,83352
20200416,50.0,0,83402
20200417,352.0,1290,83754
20200418,31.0,0,83785
20200419,18.0,0,83803
20200420,14.0,0,83817
20200421,32.0,0,83849
20200422,15.0,0,83864
20200423,12.0,0,83876
20200424,8.0,0,83884
20200425,15.0,0,83899
20200426,10.0,0,83909
20200427,3.0,1,83912
20200428,26.0,0,83938
20200429,2.0,0,83940
20200430,4.0,0,83944
20200501,12.0,0,83956
20200502,3.0,0,83959
20200503,2.0,0,83961
20200504,3.0,0,83964
20200505,2.0,0,83966
20200506,2.0,0,83968
