Date,Daily_confirmed,Daily_deaths,Total_confirmed
20200125,3.0,0,3
20200128,1.0,0,1
20200129,4.0,0,8
20200130,2.0,0,6
20200131,7.0,0,16
20200201,6.0,0,11
20200202,1.0,0,8
20200203,1.0,0,9
20200204,3.0,0,12
20200207,2.0,0,15
20200208,6.0,0,24
20200209,1.0,0,4
20200210,1.0,0,2
20200211,4.0,0,8
20200212,2.0,0,15
20200213,1.0,0,9
20200215,0.0,1,11
20200217,1.0,0,12
20200222,14.0,0,17
20200223,62.0,2,79
20200224,57.0,0,145
20200225,98.0,4,232
20200226,105.0,5,364
20200227,98.0,2,461
20200228,339.0,5,811
20200229,301.0,4,1112
20200301,404.0,8,1503
20200302,679.0,7,2184
20200303,498.0,18,2670
20200304,660.0,29,3343
20200305,922.0,28,4249
20200306,1386.0,47,5648
20200307,1853.0,55,7508
20200308,1951.0,38,9413
20200309,2502.0,145,11921
20200310,3371.0,136,15244
20200311,2686.0,183,17965
20200312,4866.0,235,22877
20200313,6444.0,248,29327
20200314,6843.0,313,35412
20200315,8652.0,238,44750
20200316,9509.0,594,54329
20200317,9438.0,429,63774
20200318,10475.0,606,74081
20200319,12490.0,722,86720
20200320,21104.0,852,107768
20200321,19707.0,1060,127300
20200322,22645.0,1426,150138
20200323,19915.0,1305,169885
20200324,23807.0,1464,193404
20200325,23834.0,1853,217642
20200326,29468.0,2103,247187
20200327,35646.0,2218,282595
20200328,37062.0,2739,319919
20200329,36128.0,2714,355676
20200330,31577.0,2542,387532
20200331,30525.0,2931,416064
20200401,39947.0,3404,458029
20200402,38318.0,3440,496002
20200403,37142.0,3661,533477
20200404,40720.0,5209,574209
20200405,37562.0,4133,611068
20200406,33497.0,3041,644682
20200407,30226.0,3473,675483
20200408,32722.0,5190,708127
20200409,37813.0,3960,745565
20200410,39493.0,4904,785325
20200411,38790.0,4519,824194
20200412,39461.0,3568,863259
20200413,32244.0,3129,895334
20200414,28990.0,3284,924667
20200415,37452.0,4387,960509
20200416,34154.0,4878,996032
20200417,35477.0,4343,1031798
20200418,33836.0,4017,1055324
20200419,28540.0,3794,1091914
20200420,30905.0,2571,1124379
20200421,30577.0,2835,1155528
20200422,31074.0,3939,1186354
20200423,30552.0,3484,1217145
20200424,29383.0,3175,1246807
20200425,32164.0,3264,1275491
20200426,27790.0,3056,1305874
20200427,24887.0,1610,1327939
20200428,22473.0,2451,1341710
20200429,24291.0,3003,1374569
20200430,24473.0,2827,1401015
20200501,25986.0,2240,1256576
20200502,28998.0,2427,1454660
20200503,24628.0,1951,1459612
20200504,23654.0,1128,1288137
20200505,23120.0,1576,1500818
20200506,25197.0,2177,1551828
