Date,Daily_confirmed,Daily_deaths,Total_confirmed
20200125,1.0,0,1
20200126,3.0,0,4
20200130,2.0,0,6
20200131,1.0,0,7
20200201,2.0,0,9
20200202,2.0,0,11
20200205,1.0,0,12
20200206,1.0,0,13
20200207,1.0,0,14
20200214,1.0,0,15
20200221,2.0,0,17
20200222,4.0,0,21
20200223,1.0,0,22
20200227,1.0,0,23
20200228,1.0,0,1
20200229,2.0,0,25
20200301,1.0,1,26
20200302,3.0,0,29
20200303,4.0,0,33
20200304,9.0,0,43
20200305,12.0,1,55
20200306,8.0,0,63
20200307,5.0,0,68
20200308,11.0,1,74
20200309,6.0,0,80
20200310,20.0,0,100
20200311,12.0,0,112
20200312,14.0,0,126
20200313,30.0,0,156
20200314,42.0,0,203
20200315,54.0,0,257
20200316,49.0,2,298
20200317,77.0,0,375
20200318,91.0,0,474
20200319,119.0,1,593
20200320,156.0,0,749
20200321,182.0,1,930
20200322,240.0,0,1170
20200323,649.0,0,1819
20200324,157.0,0,1976
20200325,650.0,1,2626
20200326,454.0,3,3075
20200327,444.0,2,3519
20200328,290.0,0,3794
20200329,491.0,2,4285
20200330,360.0,2,4645
20200331,560.0,3,5220
20200401,150.0,1,4707
20200402,347.0,1,5706
20200403,297.0,2,5996
20200404,383.0,7,6402
20200405,187.0,4,6559
20200406,98.0,2,6669
20200407,132.0,6,6787
20200408,140.0,3,6942
20200409,119.0,5,7044
20200410,123.0,3,7167
20200411,107.0,4,7289
20200412,65.0,3,7338
20200413,48.0,5,7386
20200414,52.0,4,7438
20200415,56.0,0,7494
20200416,48.0,2,7542
20200417,47.0,2,7607
20200418,44.0,4,7627
20200419,57.0,3,7684
20200420,33.0,1,7717
20200421,16.0,2,7750
20200422,27.0,4,7759
20200423,8.0,2,7774
20200424,15.0,2,7781
20200425,23.0,5,7804
20200426,20.0,2,7824
20200427,11.0,3,7835
20200428,14.0,1,7849
20200429,15.0,4,7864
20200430,11.0,2,7875
20200501,19.0,2,7894
20200502,7.0,2,7901
20200503,18.0,0,7919
20200504,19.0,2,7938
20200505,24.0,0,6825
20200506,25.0,2,7987
