Date,America
20200120,0
20200124,0
20200126,0
20200127,0
20200130,0
20200131,0
20200201,0
20200202,0
20200203,0
20200205,0
20200206,0
20200207,0
20200209,0
20200221,0
20200222,0
20200223,0
20200224,0
20200225,0
20200227,0
20200229,0
20200301,0
20200302,0
20200304,0
20200307,0
20200308,0
20200309,0
20200310,0
20200311,0
20200312,0
20200313,0
20200314,0
20200315,0
20200316,0
20200317,3
20200318,0
20200319,0
20200320,8
20200321,8
20200322,8
20200323,4
20200324,18
20200325,11
20200326,7
20200327,12
20200328,12
20200329,29
20200330,18
20200331,21
20200401,20
20200402,20
20200403,20
20200404,26
20200405,22
20200406,20
20200407,14
20200408,19
20200409,6
20200410,12
20200411,20
20200412,12
20200413,9
20200414,7
20200415,7
20200416,10
20200417,6
20200418,3
20200419,8
20200420,3
20200421,2
20200422,2
20200423,2
20200424,3
20200425,4
20200426,3
20200427,2
20200428,1
20200429,2
20200430,3
20200501,3
20200502,4
20200503,3
20200504,1
20200505,0
