Date,Asia
20200120,0
20200124,0
20200126,0
20200127,0
20200130,0
20200131,0
20200201,1
20200202,0
20200203,1
20200205,2
20200206,0
20200207,0
20200209,0
20200221,1
20200222,19
20200223,2
20200224,12
20200225,2
20200227,0
20200229,1
20200301,0
20200302,0
20200304,0
20200307,0
20200308,0
20200309,1
20200310,0
20200311,0
20200312,2
20200313,0
20200314,1
20200315,0
20200316,0
20200317,3
20200318,1
20200319,1
20200320,4
20200321,2
20200322,0
20200323,0
20200324,4
20200325,3
20200326,1
20200327,4
20200328,4
20200329,7
20200330,4
20200331,4
20200401,3
20200402,4
20200403,6
20200404,8
20200405,0
20200406,2
20200407,5
20200408,3
20200409,0
20200410,1
20200411,2
20200412,2
20200413,1
20200414,1
20200415,2
20200416,3
20200417,1
20200418,0
20200419,0
20200420,1
20200421,2
20200422,1
20200423,0
20200424,0
20200425,3
20200426,2
20200427,4
20200428,1
20200429,1
20200430,4
20200501,2
20200502,4
20200503,5
20200504,1
20200505,2
