Date,Europe
20200120,0
20200124,0
20200126,0
20200127,0
20200130,0
20200131,0
20200201,0
20200202,0
20200203,0
20200205,0
20200206,0
20200207,0
20200209,0
20200221,0
20200222,0
20200223,0
20200224,0
20200225,0
20200227,1
20200229,1
20200301,0
20200302,1
20200304,1
20200307,1
20200308,1
20200309,0
20200310,2
20200311,2
20200312,2
20200313,3
20200314,1
20200315,1
20200316,3
20200317,4
20200318,14
20200319,11
20200320,2
20200321,5
20200322,6
20200323,18
20200324,29
20200325,25
20200326,11
20200327,25
20200328,25
20200329,28
20200330,19
20200331,16
20200401,18
20200402,22
20200403,15
20200404,19
20200405,6
20200406,11
20200407,12
20200408,7
20200409,2
20200410,4
20200411,4
20200412,3
20200413,2
20200414,6
20200415,3
20200416,3
20200417,3
20200418,2
20200419,0
20200420,1
20200421,2
20200422,0
20200423,0
20200424,1
20200425,3
20200426,2
20200427,6
20200428,2
20200429,0
20200430,1
20200501,1
20200502,2
20200503,0
20200504,1
20200505,0
