Date,News_Daily_Total,News_Sum,News_Negative,News_Positive
20191201,159,3,2,1
20191202,339,1,1,0
20191203,376,10,10,0
20191204,440,13,11,2
20191205,433,1,0,1
20191206,379,10,9,1
20191207,183,1,1,0
20191208,151,2,2,0
20191209,308,1,1,0
20191210,354,4,4,0
20191211,404,18,18,0
20191212,314,3,3,0
20191213,302,2,2,0
20191214,243,0,0,0
20191215,144,0,0,0
20191216,266,1,1,0
20191217,343,11,11,0
20191218,351,11,11,0
20191219,347,7,6,1
20191220,364,6,6,0
20191221,190,0,0,0
20191222,145,0,0,0
20191223,235,0,0,0
20191224,264,4,4,0
20191225,248,10,10,0
20191226,189,1,1,0
20191227,269,7,7,0
20191228,187,0,0,0
20191229,116,1,0,1
20191230,169,2,2,0
20191231,298,7,7,0
20200101,263,33,17,16
20200102,279,11,10,1
20200103,385,16,16,0
20200104,246,15,15,0
20200105,201,17,17,0
20200106,333,21,20,1
20200107,385,25,25,0
20200108,485,42,42,0
20200109,495,51,48,3
20200110,444,30,29,1
20200111,315,30,30,0
20200112,193,14,13,1
20200113,342,21,19,2
20200114,367,25,22,3
20200115,521,40,38,2
20200116,496,35,35,0
20200117,495,48,48,0
20200118,348,37,35,2
20200119,321,40,38,2
20200120,570,92,87,5
20200121,533,106,100,6
20200122,743,174,168,6
20200123,763,187,177,10
20200124,699,151,147,4
20200125,702,181,178,3
20200126,707,264,251,13
20200127,770,200,189,11
20200128,941,238,205,33
20200129,1206,446,414,32
20200130,1067,260,231,29
20200131,990,197,172,25
20200201,741,162,129,33
20200202,899,368,334,34
20200203,991,379,340,39
20200204,956,266,225,41
20200205,825,207,166,41
20200206,643,175,142,33
20200207,812,249,202,47
20200208,593,137,116,21
20200209,869,311,268,43
20200210,839,229,168,61
20200211,800,209,160,49
20200212,926,209,167,42
20200213,827,193,145,48
20200214,819,203,157,46
20200215,583,170,115,55
20200216,514,131,101,30
20200217,672,164,126,38
20200218,573,153,115,38
20200219,202,5,5,0
20200220,162,1,1,0
20200221,131,2,0,2
20200222,138,0,0,0
20200223,136,3,1,2
20200224,728,107,78,29
20200225,675,111,87,24
20200226,846,176,136,40
20200227,527,65,51,14
20200228,833,134,107,27
20200229,731,112,88,24
20200301,439,76,63,13
20200302,734,117,96,21
20200303,822,97,73,24
20200304,876,136,98,38
20200305,806,110,88,22
20200306,859,109,89,20
20200307,634,86,67,19
20200308,519,89,65,24
20200309,681,114,94,20
20200310,791,106,81,25
20200311,783,122,94,28
20200312,739,135,113,22
20200313,647,111,93,18
20200314,308,26,20,6
20200315,153,6,6,0
20200316,186,6,6,0
20200317,90,1,1,0
20200318,36,2,2,0
20200319,39,4,3,1
20200320,31,1,1,0
20200321,32,0,0,0
20200322,17,0,0,0
20200323,56,1,1,0
20200324,472,1,1,0
20200325,1016,73,53,20
20200326,1057,104,81,23
20200327,1077,103,78,25
20200328,595,44,32,12
20200329,639,74,56,18
20200330,1092,99,81,18
20200331,1150,119,95,24
20200401,1426,112,89,23
20200402,1264,142,119,23
20200403,1336,139,101,38
20200404,943,116,89,27
20200405,1122,121,91,30
20200406,1416,121,100,21
20200407,1599,158,111,47
20200408,1778,161,119,42
20200409,1761,147,112,35
20200410,1585,143,109,34
20200411,1175,124,94,30
20200412,1093,108,84,24
20200413,1465,143,98,45
20200414,1540,178,121,57
20200415,1740,186,131,55
20200416,1676,145,108,37
20200417,1603,170,133,37
20200418,1150,131,100,31
20200419,1151,103,76,27
20200420,1798,114,94,20
20200421,1433,131,107,24
20200422,1861,123,101,22
20200423,2105,117,85,32
20200424,1885,104,80,24
20200425,1229,105,80,25
20200426,1249,90,76,14
20200427,1467,102,77,25
20200428,1084,119,89,30
20200429,1221,116,91,25
20200430,1384,131,96,35
20200501,1202,122,96,26
20200502,805,98,85,13
20200503,890,80,61,19
20200504,1418,100,80,20
20200505,881,97,85,12
