Date,News_Daily_Total,News_Sum,News_Negative,News_Positive
20191201,159,13,12,1
20191202,339,32,31,1
20191203,376,32,27,5
20191204,440,47,45,2
20191205,433,33,32,1
20191206,379,42,41,1
20191207,183,12,12,0
20191208,151,10,8,2
20191209,308,7,7,0
20191210,354,35,34,1
20191211,404,32,31,1
20191212,314,28,28,0
20191213,302,27,25,2
20191214,243,23,23,0
20191215,144,12,12,0
20191216,266,11,10,1
20191217,343,34,33,1
20191218,351,36,35,1
20191219,347,35,34,1
20191220,364,41,40,1
20191221,190,24,24,0
20191222,145,13,13,0
20191223,235,15,15,0
20191224,264,14,13,1
20191225,248,40,40,0
20191226,189,18,17,1
20191227,269,25,24,1
20191228,187,21,21,0
20191229,116,20,20,0
20191230,169,15,15,0
20191231,298,40,39,1
20200101,263,37,36,1
20200102,279,36,36,0
20200103,385,30,29,1
20200104,246,22,22,0
20200105,201,23,23,0
20200106,333,26,24,2
20200107,385,34,33,1
20200108,485,49,47,2
20200109,495,32,32,0
20200110,444,35,34,1
20200111,315,45,44,1
20200112,193,23,23,0
20200113,342,25,24,1
20200114,367,32,30,2
20200115,521,49,49,0
20200116,496,36,35,1
20200117,495,50,48,2
20200118,348,58,58,0
20200119,321,21,21,0
20200120,570,50,50,0
20200121,533,38,37,1
20200122,743,48,46,2
20200123,763,62,62,0
20200124,699,83,80,3
20200125,702,103,99,4
20200126,707,65,64,1
20200127,770,78,77,1
20200128,941,102,99,3
20200129,1206,154,148,6
20200130,1067,196,186,10
20200131,990,218,211,7
20200201,741,150,146,4
20200202,899,125,114,11
20200203,991,132,121,11
20200204,956,148,139,9
20200205,825,155,146,9
20200206,643,129,123,6
20200207,812,136,125,11
20200208,593,120,115,5
20200209,869,98,95,3
20200210,839,153,138,15
20200211,800,138,123,15
20200212,926,177,161,16
20200213,827,164,155,9
20200214,819,122,113,9
20200215,583,102,97,5
20200216,514,78,73,5
20200217,672,97,90,7
20200218,573,63,58,5
20200219,202,25,24,1
20200220,162,7,7,0
20200221,131,6,6,0
20200222,138,30,28,2
20200223,136,34,33,1
20200224,728,150,141,9
20200225,675,162,150,12
20200226,846,170,163,7
20200227,527,166,154,12
20200228,833,246,220,26
20200229,731,165,152,13
20200301,439,119,115,4
20200302,734,195,174,21
20200303,822,270,177,93
20200304,876,193,175,18
20200305,806,229,213,16
20200306,859,232,209,23
20200307,634,143,121,22
20200308,519,102,78,24
20200309,681,123,110,13
20200310,791,210,188,22
20200311,783,171,136,35
20200312,739,201,187,14
20200313,647,191,176,15
20200314,308,147,132,15
20200315,153,16,16,0
20200316,186,3,3,0
20200317,90,7,6,1
20200318,36,1,1,0
20200319,39,3,3,0
20200320,31,7,6,1
20200321,32,15,15,0
20200322,17,6,6,0
20200323,56,13,11,2
20200324,472,63,57,6
20200325,1016,156,144,12
20200326,1057,205,165,40
20200327,1077,175,160,15
20200328,595,116,108,8
20200329,639,139,128,11
20200330,1092,182,163,19
20200331,1150,166,139,27
20200401,1426,189,175,14
20200402,1264,143,128,15
20200403,1336,160,148,12
20200404,943,192,167,25
20200405,1122,163,143,20
20200406,1416,203,142,61
20200407,1599,220,193,27
20200408,1778,229,208,21
20200409,1761,218,203,15
20200410,1585,208,165,43
20200411,1175,186,127,59
20200412,1093,201,121,80
20200413,1465,153,143,10
20200414,1540,202,166,36
20200415,1740,215,188,27
20200416,1676,240,224,16
20200417,1603,205,176,29
20200418,1150,171,145,26
20200419,1151,135,123,12
20200420,1798,212,182,30
20200421,1433,188,138,50
20200422,1861,243,212,31
20200423,2105,180,167,13
20200424,1885,222,170,52
20200425,1229,216,185,31
20200426,1249,125,116,9
20200427,1467,160,120,40
20200428,1084,174,138,36
20200429,1221,179,137,42
20200430,1384,189,153,36
20200501,1202,205,171,34
20200502,805,189,128,61
20200503,890,126,108,18
20200504,1418,233,139,94
20200505,881,164,112,52
