Date,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger
20191201,8076,24,12.0,66.0,0.0
20191203,4038,2,8.0,28.0,0.0
20191206,4038,2,0.0,48.0,0.0
20191208,4038,10,14.0,24.0,0.0
20191209,4038,4,0.0,46.0,0.0
20191210,8076,4,0.0,92.0,0.0
20191213,4038,2,0.0,62.0,0.0
20191215,4038,2,0.0,42.0,0.0
20191216,4038,12,18.0,22.0,0.0
20191218,4038,2,0.0,58.0,0.0
20191219,4038,2,0.0,44.0,0.0
20191220,4038,2,0.0,52.0,0.0
20191221,4038,4,0.0,46.0,2.0
20200102,2020,1,6.0,8.0,0.0
20200103,2019,1,0.0,23.0,0.0
20200107,2020,1,2.0,17.0,0.0
20200108,2020,1,0.0,12.0,0.0
20200114,2020,1,0.0,31.0,0.0
20200116,2020,1,0.0,27.0,0.0
20200119,4040,2,0.0,56.0,0.0
20200120,2020,1,0.0,24.0,0.0
20200121,2020,1,0.0,31.0,0.0
20200123,4040,2,4.0,36.0,0.0
20200128,2020,1,0.0,19.0,0.0
20200129,4040,2,0.0,53.0,1.0
20200210,2020,1,0.0,24.0,0.0
20200213,4040,2,0.0,48.0,0.0
20200215,4040,2,0.0,43.0,0.0
20200220,2020,1,0.0,21.0,0.0
20200221,2020,1,9.0,12.0,0.0
20200224,2020,1,2.0,25.0,0.0
20200301,2020,1,0.0,23.0,0.0
20200307,2020,1,0.0,24.0,0.0
20200312,2020,1,0.0,23.0,0.0
20200314,2020,1,0.0,23.0,0.0
20200316,2020,1,0.0,22.0,0.0
20200317,2020,1,0.0,21.0,0.0
20200322,2020,1,0.0,23.0,0.0
20200325,2020,1,0.0,22.0,0.0
20200327,2020,1,0.0,26.0,0.0
20200329,4040,2,0.0,60.0,0.0
20200403,2020,1,0.0,27.0,0.0
20200407,2020,1,6.0,12.0,0.0
20200408,2020,1,0.0,25.0,0.0
20200414,4040,2,0.0,41.0,0.0
20200426,2020,1,0.0,21.0,0.0
20200427,2020,1,0.0,22.0,0.0
20200428,2020,2,0.0,23.0,0.0
20200501,2020,2,0.0,22.0,0.0
