Date,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger
20191201,36342,76,46.0,562.0,2.0
20191202,48456,130,50.0,656.0,0.0
20191203,36342,106,28.0,560.0,0.0
20191204,60570,60,26.0,1232.0,0.0
20191205,96912,164,66.0,2282.0,18.0
20191206,48456,56,86.0,658.0,2.0
20191207,24228,42,42.0,238.0,4.0
20191208,24228,54,12.0,206.0,0.0
20191209,28266,108,0.0,430.0,0.0
20191210,40380,138,0.0,512.0,2.0
20191211,56532,146,28.0,586.0,0.0
20191212,32304,74,24.0,296.0,0.0
20191213,44418,54,20.0,440.0,0.0
20191214,16152,50,16.0,156.0,2.0
20191215,28266,110,28.0,296.0,0.0
20191216,24228,52,0.0,254.0,0.0
20191217,56532,148,4.0,2452.0,0.0
20191218,12114,48,54.0,76.0,0.0
20191219,32304,122,40.0,322.0,0.0
20191220,28266,56,30.0,282.0,0.0
20191221,36342,54,38.0,412.0,2.0
20191222,52494,96,26.0,754.0,2.0
20191223,8076,8,0.0,90.0,0.0
20200101,8080,4,25.0,74.0,0.0
20200102,18179,14,0.0,292.0,0.0
20200103,18180,9,16.0,210.0,1.0
20200104,22219,18,17.0,295.0,2.0
20200105,22220,11,26.0,217.0,14.0
20200106,16160,8,22.0,154.0,1.0
20200107,14140,8,0.0,131.0,0.0
20200108,8080,4,14.0,74.0,0.0
20200109,22219,11,5.0,236.0,0.0
20200110,22220,11,23.0,227.0,2.0
20200111,16160,9,19.0,155.0,0.0
20200112,16160,8,0.0,169.0,1.0
20200113,20200,11,18.0,162.0,4.0
20200114,30300,15,6.0,317.0,1.0
20200115,30300,16,45.0,274.0,5.0
20200116,16160,9,17.0,161.0,0.0
20200117,22220,11,33.0,222.0,3.0
20200118,14140,7,6.0,152.0,1.0
20200119,36360,20,53.0,343.0,0.0
20200120,18180,11,15.0,174.0,6.0
20200121,8080,6,6.0,81.0,0.0
20200122,12120,7,24.0,104.0,0.0
20200123,18180,12,29.0,152.0,8.0
20200124,16160,8,0.0,190.0,3.0
20200125,4040,2,0.0,41.0,0.0
20200126,20200,10,8.0,205.0,0.0
20200127,12120,6,10.0,120.0,0.0
20200128,20200,10,34.0,169.0,2.0
20200129,18180,11,17.0,157.0,2.0
20200130,18180,9,28.0,152.0,0.0
20200131,20200,11,4.0,207.0,1.0
20200201,12120,8,6.0,128.0,0.0
20200202,16160,10,2.0,174.0,0.0
20200203,24240,14,8.0,254.0,0.0
20200204,28280,17,60.0,259.0,0.0
20200205,14140,7,9.0,154.0,0.0
20200206,16160,10,22.0,164.0,2.0
20200207,22220,15,3.0,233.0,1.0
20200208,10100,5,0.0,117.0,0.0
20200209,12120,8,0.0,128.0,0.0
20200210,18180,12,27.0,163.0,2.0
