Date,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger
20191201,310926,5294,544.0,2050.0,1414.0
20191202,193824,3352,262.0,1474.0,708.0
20191203,222090,4634,324.0,1610.0,676.0
20191204,306888,5654,400.0,2470.0,624.0
20191205,242280,5464,506.0,1570.0,896.0
20191206,226128,4688,304.0,1668.0,748.0
20191207,302850,6808,502.0,2050.0,1218.0
20191208,258432,5042,360.0,1772.0,1336.0
20191209,246318,4054,380.0,1754.0,696.0
20191210,278622,4858,568.0,1888.0,734.0
20191211,371496,6562,512.0,2720.0,592.0
20191212,306888,5442,684.0,5288.0,8652.0
20191213,306888,4642,432.0,2298.0,662.0
20191214,347268,5882,582.0,2544.0,1296.0
20191215,298812,4562,398.0,2170.0,776.0
20191216,278622,4348,420.0,2184.0,710.0
20191217,250356,4998,316.0,1782.0,820.0
20191218,274584,5198,372.0,2012.0,792.0
20191219,306888,5804,570.0,2162.0,680.0
20191220,246318,4516,372.0,1816.0,942.0
20191221,310926,5850,458.0,2298.0,1826.0
20191222,323040,6040,444.0,2204.0,1254.0
20191223,20190,408,32.0,156.0,0.0
20200101,131290,263,155.0,1064.0,1036.0
20200102,90897,57,119.0,684.0,637.0
20200103,107056,71,119.0,794.0,750.0
20200104,62619,95,123.0,440.0,528.0
20200105,96960,67,169.0,699.0,609.0
20200106,92919,75,108.0,783.0,479.0
20200107,70700,55,175.0,468.0,381.0
20200108,56560,40,149.0,382.0,117.0
20200109,137360,109,189.0,1109.0,486.0
20200110,159580,136,254.0,1136.0,459.0
20200111,167660,160,315.0,1231.0,852.0
20200112,169680,173,241.0,1193.0,977.0
20200113,123220,148,233.0,844.0,586.0
20200114,113120,112,225.0,816.0,427.0
20200115,131300,136,203.0,918.0,407.0
20200116,143420,181,207.0,1036.0,563.0
20200117,137360,175,210.0,989.0,605.0
20200118,147460,207,282.0,1091.0,847.0
20200119,179780,223,254.0,1326.0,953.0
20200120,163620,185,193.0,1183.0,523.0
