Date,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger
20191201,24228,44,18.0,232.0,0.0
20191202,44418,80,8.0,468.0,0.0
20191203,44418,368,12.0,448.0,0.0
20191204,24228,50,62.0,226.0,0.0
20191205,44418,174,28.0,378.0,0.0
20191206,44418,64,8.0,464.0,0.0
20191207,20190,166,28.0,186.0,0.0
20191208,12114,112,18.0,86.0,0.0
20191209,44418,94,16.0,472.0,0.0
20191210,52494,272,4.0,472.0,0.0
20191211,40380,122,18.0,398.0,0.0
20191212,16152,144,18.0,144.0,0.0
20191213,36342,76,4.0,364.0,0.0
20191214,36342,244,98.0,292.0,4.0
20191215,52494,76,6.0,470.0,4.0
20191216,48456,98,0.0,484.0,6.0
20191217,28266,210,0.0,312.0,6.0
20191218,24228,42,20.0,1376.0,2458.0
20191219,44418,108,0.0,440.0,0.0
20191220,48456,226,54.0,442.0,0.0
20191221,64608,340,16.0,604.0,8.0
20191222,20190,74,0.0,174.0,2.0
20200101,8079,4,0.0,87.0,0.0
20200102,30299,37,16.0,246.0,0.0
20200103,20200,10,4.0,198.0,0.0
20200104,22220,11,49.0,181.0,0.0
20200105,6060,3,0.0,48.0,0.0
20200106,18180,9,5.0,179.0,0.0
20200107,18180,9,0.0,178.0,0.0
20200109,10099,6,0.0,101.0,0.0
20200110,12120,7,0.0,127.0,0.0
20200111,20200,14,21.0,170.0,0.0
20200112,10100,5,0.0,86.0,0.0
20200113,18180,11,11.0,180.0,0.0
20200114,8080,5,4.0,75.0,0.0
20200115,12120,7,0.0,105.0,0.0
20200116,16160,10,42.0,130.0,0.0
20200117,20200,12,6.0,179.0,0.0
20200118,20200,15,18.0,179.0,0.0
20200119,14140,7,9.0,138.0,0.0
20200120,16160,11,0.0,156.0,1.0
20200121,14140,12,0.0,142.0,1.0
20200122,14140,10,5.0,124.0,0.0
20200123,12120,10,9.0,80.0,0.0
20200124,4040,6,0.0,33.0,0.0
20200125,6060,6,11.0,51.0,0.0
20200126,10100,8,0.0,99.0,0.0
20200127,8080,7,0.0,81.0,0.0
20200128,14140,13,3.0,137.0,1.0
20200129,26260,14,3.0,235.0,0.0
20200130,18180,12,4.0,189.0,0.0
20200131,14140,8,8.0,135.0,1.0
20200201,14140,11,34.0,105.0,5.0
20200202,32320,29,11.0,286.0,0.0
20200203,30300,17,0.0,301.0,1.0
