return,iso,arrival,departure,count
20200428,at,20200428,20200428,3
20200428,be,20200428,20200428,3
20200428,ca,20200421,20200421,3
20200428,ca,20200426,20200426,3
20200428,ca,20200427,20200427,3
20200428,ca,20200428,20200428,8
20200428,cn,20200328,20200428,3
20200428,cn,20200405,20200405,3
20200428,cn,20200414,20200428,3
20200428,cn,20200415,20200427,3
20200428,cn,20200421,20200426,3
20200428,cn,20200421,20200427,3
20200428,cn,20200421,20200428,3
20200428,cn,20200423,20200423,3
20200428,cn,20200423,20200425,3
20200428,cn,20200423,20200427,5
20200428,cn,20200424,20200427,4
20200428,cn,20200425,20200425,3
20200428,cn,20200425,20200427,7
20200428,cn,20200426,20200426,3
20200428,cn,20200426,20200427,4
20200428,cn,20200427,20200427,10
20200428,cn,20200427,20200428,3
20200428,cn,20200428,20200428,47
20200428,de,20200424,20200427,3
20200428,de,20200426,20200426,3
20200428,de,20200427,20200428,3
20200428,de,20200428,20200428,3
20200428,dk,20200428,20200428,3
20200428,ee,20200428,20200428,3
20200428,et,20200428,20200428,3
20200428,gb,20200426,20200428,3
20200428,hk,20200328,20200428,3
20200428,hk,20200401,20200401,3
20200428,hk,20200406,20200406,3
20200428,hk,20200426,20200427,3
20200428,hk,20200426,20200428,3
20200428,hk,20200428,20200428,15
20200428,hu,20200424,20200424,3
20200428,hu,20200426,20200426,3
20200428,in,20200405,20200405,3
20200428,in,20200406,20200406,3
20200428,in,20200416,20200416,3
20200428,in,20200423,20200423,3
20200428,in,20200427,20200427,16
20200428,jp,20200328,20200428,4
20200428,jp,20200329,20200330,3
20200428,jp,20200402,20200428,3
20200428,jp,20200414,20200414,3
20200428,jp,20200418,20200419,3
20200428,jp,20200421,20200428,3
20200428,jp,20200422,20200427,3
20200428,jp,20200424,20200428,6
20200428,jp,20200425,20200427,3
20200428,jp,20200425,20200428,3
20200428,jp,20200426,20200426,3
20200428,jp,20200426,20200428,16
20200428,jp,20200427,20200427,3
20200428,jp,20200427,20200428,9
20200428,jp,20200428,20200428,46
20200428,kh,20200425,20200425,3
20200428,mm,20200427,20200427,3
20200428,mm,20200428,20200428,3
20200428,mx,20200422,20200427,3
20200428,my,20200418,20200418,3
20200428,my,20200428,20200428,3
20200428,n/a,20200424,20200424,3
20200428,n/a,20200425,20200425,5
20200428,n/a,20200426,20200426,16
20200428,n/a,20200428,20200428,26
20200428,na,20200428,20200428,3
20200428,ng,20200427,20200428,3
20200428,ph,20200328,20200427,3
20200428,ph,20200328,20200428,5
20200428,ph,20200415,20200416,3
20200428,ph,20200421,20200421,3
20200428,ph,20200427,20200427,7
20200428,ph,20200428,20200428,11
20200428,qa,20200330,20200330,3
20200428,ru,20200425,20200425,3
20200428,ru,20200426,20200426,3
20200428,ru,20200427,20200428,3
20200428,ru,20200428,20200428,6
20200428,se,20200428,20200428,3
20200428,sg,20200428,20200428,3
20200428,th,20200427,20200427,3
20200428,th,20200428,20200428,13
20200428,tw,20200428,20200428,5
20200428,us,20200328,20200428,3
20200428,us,20200402,20200402,3
20200428,us,20200414,20200414,3
20200428,us,20200421,20200421,3
