Entity,Continent,Date,Daily_confirmed,Daily_deaths,Total_confirmed
Afghanistan,Asia,2020-02-25,1,0,1
Afghanistan,Asia,2020-03-08,3,0,4
Afghanistan,Asia,2020-03-11,3,0,7
Afghanistan,Asia,2020-03-15,3,0,10
Afghanistan,Asia,2020-03-16,6,0,16
Afghanistan,Asia,2020-03-17,5,0,21
Afghanistan,Asia,2020-03-18,1,0,22
Afghanistan,Asia,2020-03-21,2,0,24
Afghanistan,Asia,2020-03-23,10,0,34
Afghanistan,Asia,2020-03-24,6,1,40
Afghanistan,Asia,2020-03-25,2,0,42
Afghanistan,Asia,2020-03-26,33,0,75
Afghanistan,Asia,2020-03-28,16,1,91
Afghanistan,Asia,2020-03-29,15,1,106
Afghanistan,Asia,2020-03-30,8,1,114
Afghanistan,Asia,2020-03-31,27,0,141
Afghanistan,Asia,2020-04-01,25,0,166
Afghanistan,Asia,2020-04-02,26,0,192
Afghanistan,Asia,2020-04-03,43,0,235
Afghanistan,Asia,2020-04-05,35,1,270
Afghanistan,Asia,2020-04-06,29,2,299
Afghanistan,Asia,2020-04-07,38,0,337
Afghanistan,Asia,2020-04-08,30,4,367
Afghanistan,Asia,2020-04-09,56,3,423
Afghanistan,Asia,2020-04-10,61,1,484
Afghanistan,Asia,2020-04-11,37,0,521
Afghanistan,Asia,2020-04-12,34,3,555
Afghanistan,Asia,2020-04-13,52,0,607
Afghanistan,Asia,2020-04-14,58,3,665
Afghanistan,Asia,2020-04-15,49,2,714
Afghanistan,Asia,2020-04-16,70,2,784
Afghanistan,Asia,2020-04-17,10,4,794
Afghanistan,Asia,2020-04-18,51,1,845
Afghanistan,Asia,2020-04-19,63,0,908
Afghanistan,Asia,2020-04-20,88,3,996
Afghanistan,Asia,2020-04-21,35,2,1031
Afghanistan,Asia,2020-04-22,61,1,1092
Afghanistan,Asia,2020-04-23,84,4,1176
Afghanistan,Asia,2020-04-24,105,2,1281
Afghanistan,Asia,2020-04-25,70,1,1351
Afghanistan,Asia,2020-04-26,112,4,1463
Afghanistan,Asia,2020-04-27,68,10,1531
Afghanistan,Asia,2020-04-28,172,0,1703
Afghanistan,Asia,2020-04-29,124,3,1827
Afghanistan,Asia,2020-04-30,122,0,1949
Afghanistan,Asia,2020-05-01,222,4,2171
Afghanistan,Asia,2020-05-02,164,4,2335
Afghanistan,Asia,2020-05-03,134,4,2469
Afghanistan,Asia,2020-05-04,235,13,2704
Afghanistan,Asia,2020-05-05,190,5,2894
Afghanistan,Asia,2020-05-06,330,5,3224
Albania,Europe,2020-03-09,2,0,2
Albania,Europe,2020-03-10,4,0,6
Albania,Europe,2020-03-11,4,0,10
Albania,Europe,2020-03-12,1,1,11
Albania,Europe,2020-03-13,12,0,23
Albania,Europe,2020-03-14,10,0,33
Albania,Europe,2020-03-15,5,0,38
Albania,Europe,2020-03-16,4,0,42
Albania,Europe,2020-03-17,9,0,51
Albania,Europe,2020-03-18,4,0,55
Albania,Europe,2020-03-19,4,1,59
Albania,Europe,2020-03-20,11,0,70
Albania,Europe,2020-03-22,6,0,76
Albania,Europe,2020-03-23,13,0,89
Albania,Europe,2020-03-24,11,2,100
Albania,Europe,2020-03-25,23,1,123
Albania,Europe,2020-03-26,23,0,146
Albania,Europe,2020-03-27,28,1,174
Albania,Europe,2020-03-28,12,3,186
Albania,Europe,2020-03-29,11,1,197
Albania,Europe,2020-03-30,15,0,212
Albania,Europe,2020-03-31,11,2,223
Albania,Europe,2020-04-01,20,3,243
Albania,Europe,2020-04-02,16,0,259
Albania,Europe,2020-04-03,18,1,277
Albania,Europe,2020-04-04,27,1,304
Albania,Europe,2020-04-05,29,2,333
Albania,Europe,2020-04-06,28,2,361
Albania,Europe,2020-04-07,16,1,377
Albania,Europe,2020-04-08,6,0,383
Albania,Europe,2020-04-09,17,0,400
Albania,Europe,2020-04-10,9,1,409
Albania,Europe,2020-04-11,7,0,416
Albania,Europe,2020-04-12,17,0,433
Albania,Europe,2020-04-13,13,0,446
Albania,Europe,2020-04-14,21,0,467
Albania,Europe,2020-04-15,8,1,475
Albania,Europe,2020-04-16,19,1,494
Albania,Europe,2020-04-17,24,1,518
Albania,Europe,2020-04-18,21,0,539
Albania,Europe,2020-04-19,9,0,548
Albania,Europe,2020-04-20,14,0,562
Albania,Europe,2020-04-21,22,0,584
Albania,Europe,2020-04-22,25,0,609
Albania,Europe,2020-04-23,25,1,634
Albania,Europe,2020-04-24,29,0,663
Albania,Europe,2020-04-25,15,0,678
Albania,Europe,2020-04-26,34,0,712
Albania,Europe,2020-04-27,14,1,726
Albania,Europe,2020-04-28,10,0,736
Albania,Europe,2020-04-29,14,2,750
Albania,Europe,2020-04-30,16,1,766
Albania,Europe,2020-05-01,7,0,773
Albania,Europe,2020-05-02,9,0,782
Albania,Europe,2020-05-03,7,0,789
Albania,Europe,2020-05-04,6,0,795
Albania,Europe,2020-05-05,8,0,803
Albania,Europe,2020-05-06,17,0,820
Algeria,Africa,2020-02-26,1,0,1
Algeria,Africa,2020-03-01,2,0,3
Algeria,Africa,2020-03-04,2,0,5
Algeria,Africa,2020-03-05,7,0,12
Algeria,Africa,2020-03-06,5,0,17
Algeria,Africa,2020-03-09,3,0,20
Algeria,Africa,2020-03-13,5,1,25
Algeria,Africa,2020-03-14,1,1,26
Algeria,Africa,2020-03-15,11,0,37
Algeria,Africa,2020-03-16,11,2,48
Algeria,Africa,2020-03-17,10,0,58
Algeria,Africa,2020-03-18,2,1,60
